,BitTorrent client,Magnet URI,Preload Magnet metadata [Note 4],Super-seeding,Embedded tracker,UPnP [Note 5],NAT Port Mapping Protocol,NAT traversal [Note 6],DHT [Note 7],Peer exchange,Encryption,UDP tracker,LPD,Proxy server
0,ABC,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
1,Acquisition,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2,BitComet,Yes,No,Yes,Separate download,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"HTTP 1.1, SOCKS4-4a-5"
3,BitLet,No,No,No,No,Yes,No,No,No,No,No,No,No,No
4,BitLord,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP 1.1, SOCKS4-4a-5"
5,BitTornado,No,No,Yes,Yes[Note 8],Yes,No,No,No,No,Yes,No,No,No
6,"BitTorrent 5, Mainline",No,No,No,Yes[Note 8],Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
7,BitTorrent 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 9],Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
8,BitTyrant,No,No,Yes[citation needed],Yes,Yes,Yes,Yes[Note 10],Yes[Note 11],Yes,Yes,No,No,No
9,Blog Torrent,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10,Deluge,Yes,Partial[Note 12],No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
11,FlashGet,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
12,Free Download Manager,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
13,KTorrent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,"HTTP, SOCKS4-5"
14,LimeWire,Partial,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
15,Meerkat Bittorrent Client,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
16,MLDonkey,Yes[58],No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
17,μTorrent,Yes,Yes[59],Yes[60],Yes[61],Yes[62],Yes,Yes[63],Yes[Note 13],Yes[Note 9],Yes[64],Yes,Yes[65],"HTTP(S), SOCKS4-5"
18,OneSwarm,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
19,Opera 12,No,No,No,Yes[66],No,No,No,No,Yes[67],No,No,No,No
20,qBittorrent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
21,rTorrent,Yes[68],No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No[69],No
22,Shareaza,Yes,No,No,No,Yes,Yes,No,Yes[Note 14],Yes,No,Yes[Note 15],No,No
23,SymTorrent,No,No,No,No,No,No,No,No,No,No,No,No,No
24,Tixati,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,only with out going without DHT if anonymity required
25,Tomato Torrent,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
26,Tonido,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
27,TorrentFlux,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
28,Transmission,Yes,Yes[70][71][72],No,No,Yes,Yes,Yes,Yes,Yes[Note 16],Yes,Yes,Yes,No[73]
29,Tribler,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Uses P2P onion routing to provide anonymity.
30,Vuze (formerly Azureus),Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 17],Yes[Note 11],Yes,Yes,Yes,Plugin,"HTTP(S)?, SOCKS4-4a-5"
31,Xunlei,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"HTTP, SOCKS5, FTP"
32,BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
