,BitTorrent client,Cache [Note 18],Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange [74],Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
0,ABC,No,Yes,No,No,Yes,No,No,No,No,Yes,Separate download,No,No,
1,Acquisition,No,No,,No,No,No,No,No,No,No,No,No,No,"3 torrents max, infinite when registered"
2,BitComet,Yes,No,Yes[75],Beta,Yes,Yes,Yes[Note 19],Yes,No,Yes,Built-in Web browser,Yes,No,Portable version available
3,BitLet,No,No,No,No,No,No,No,No,No,No,No,Yes,No,
4,BitLord,Yes,No,Partial [Note 20][Note 21],Yes,Yes,Yes,No,Yes,No,No,Built-in Web browser,Yes,No,
5,BitTornado,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,via PMS,No,
6,"BitTorrent 5, Mainline",No,Yes,Partial [Note 21],No,Yes,Yes,No,No,No,No,Yes,Yes,No,
7,BitTorrent 6,Yes,Yes,,Yes,Yes,Yes,Yes[Note 22],Yes,No,Yes,Yes,Yes,Yes,
8,BitTyrant,Yes,Yes[76],Yes,Plugin,Yes,Yes,No,Yes,No,Plugin[Note 23],3rd party plugins,Yes,No,Upload priority optimized according to a series of research papers
9,Blog Torrent,No,No,No,No,No,No,No,No,No,No,No,No,No,
10,Deluge,Yes,Yes,Partial [Note 20],Plugin,Yes,Yes,Yes,Yes,No,Yes,No,via PMS,No,
11,FlashGet,No,No,,No,No,No,No,No,No,No,No,No,No,FlashGet (standalone application) is not FlashGot (Firefox Addon)
12,Free Download Manager,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Optional,No,
13,KTorrent,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Built-in Web browser,via PMS,No,
14,LimeWire,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,
15,Meerkat Bittorrent Client,Yes,No,,No,No,No,No,No,No,No,No,No,No,
16,MLDonkey,Yes,No,,3rd party bash script,Yes,No,No,No[77],No,Yes,Built-in Web browser,via PMS,No,
17,μTorrent,Yes,Yes[78],Partial [Note 21],Yes[79],Yes[80],Yes,Yes[Note 24],Yes,No,Yes,Yes,Yes,Yes,
18,OneSwarm,Yes,Yes,Partial [Note 21],No,Yes,Yes,No,Yes,No,No,No,Yes,No,has all BitTyrant features
19,Opera 12,No,No,,Yes[Note 25],No,No,No,No,No,No,built-into Web browser,Windows and Mac OS X only; via PMS on Linux,No,Web browser
20,qBittorrent,Yes,Yes,Partial [Note 20],Yes,Yes,Yes,Yes,Yes,hard-coded as disabled in newer versions,Yes,Yes,via PMS,No,
21,rTorrent,Partial,No,No,3rd party utility [81],Yes,Yes,No,No,No,Yes,No,via PMS,No,No built-in disk cache but a delayed sync
22,Shareaza,Yes,Yes,No,No,Yes,Yes[Note 26],in mod client,No,Yes[Note 27][82][Note 28],Yes,Yes,Yes,No,[Note 29]
23,SymTorrent,No,No,,No,No,No,No,No,No,No,No,No,No,BitTorrent client for cell phones
24,Tixati,Yes,Yes,Partial [Note 20] [Note 30][Note 21],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"lightweight client, Portable version available, option to keep all peers unchoked available Integral encrypted chatrooms that allow streaming audio and video, link sharing and searching"
25,Tomato Torrent,No,No,No,No,No,No,No,No,No,No,No,No,No,supports AppleScript
26,Tonido,No,No,,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
27,TorrentFlux,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,
28,Transmission,Yes,No,Partial [Note 21][Note 31],No,Yes,Yes,Yes[83][84],No,No,Yes,No,Yes,No,
29,Tribler,Yes,No,No,Yes,Yes,Yes,No,No,No,Partial,Yes (DHT)[85],Yes,No,Fully distributed keyword search; integrated anti-spam measures[86]
30,Vuze (formerly Azureus),Yes,,Yes[76],Yes,Yes,Yes,in paid version [87],Yes,No,Plugin[Note 23],Yes,Yes,Yes[88],The only client to bridge between i2p and the clearnet.
31,Xunlei,Yes,No,,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,
32,BitTorrent client,Cache,Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange,Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
