,Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP auth.,RFC 2518 Web­DAV,RFC 3253 Web­DAV vers.,RFC 3744 Web­DAV ACL,RFC 4324 iCal CAP,RFC 4331 Web­DAV quota,RFC 4709 Web­DAV mount,RFC 4791 Cal­DAV,RFC 4918 Web­DAV ext.,RFC 5397 Web­DAV current principal,RFC 5545 rev. iCal (Availability Check),RFC 5546 iCal iTIP(Group Scheduling),RFC 5689 Web­DAV ext. MKCOL,RFC 5995 Web­DAV POST add member,RFC 6352 Card­DAV vCard,RFC 6578 Web­DAV sync,RFC 6638 Cal­DAV sched.(Auto-Schedule),RFC 7529 iCal RSCALE,RFC 7540 HTTP/2,RFC 7809 Cal­DAV time zones by ref.,RFC 7953 iCal VAVAIL­ABILITY,Free-busy URL
0,Baïkal[21][22],GNU GPL,PHP,Yes,Yes,Yes,No,Some,No,Unknown,No,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,Bedework[23],Apache,Java,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
2,Calendar and Contacts Server[24],Apache,Python,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
3,Calypso[25],GNU GPL,Python,Yes,Yes,Yes,No,Unknown,No,Unknown,No,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,Cyrus IMAP[26],BSD,C,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,DAViCal[27],GNU GPL,PHP,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes
6,DavMail[28],GNU GPL,Java,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,Fennel[29],GNU GPLv3,JavaScript,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8,Group-Office[30],"AGPL, proprietary",PHP,Yes,Yes,Yes,Unknown,Some,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9,Horde Groupware,GNU LGPL,PHP,Yes,Yes,Yes,No,Some,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
10,Nextcloud[31],AGPL v3,PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
11,Open Xchange,"GNU GPL, CC","Java, JavaScript",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
12,ownCloud[32],AGPL v3,PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
13,Radicale[33],GNU GPL,Python,Yes,Yes,Some,No,Some,No,Unknown,No,Some,Some,Some,No,Some,No,Unknown,Some,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
14,SabreDAV[34],BSD,PHP,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
15,Xandikos[35],GNU GPL,Python,Yes,Yes,Yes,Some,Some,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,No,No,Unknown
16,Zarafa,"AGPL, proprietary",PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Read only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
17,Zentyal[36],GNU GPL,Perl,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
18,Zimbra,GNU GPL,Java,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
