,Server,Creator,Cost (USD),Public source code,Software license
0,BIND,Internet Systems Consortium,Free,Yes,"BSD, MPL 2.0 for 9.11+"
1,Microsoft DNS,Microsoft,Included with Windows Server,No,Clickwrap license
2,djbdns,Daniel J. Bernstein,Free,Yes,Public domain
3,Dnsmasq,Simon Kelley,Free,Yes,GPL
4,Simple DNS Plus,JH Software,$79 – $379,No,Clickwrap license
5,NSD,NLnet Labs,Free,Yes,BSD variant
6,Knot DNS,CZ.NIC,Free,Yes,GPL
7,Knot Resolver,CZ.NIC,Free,Yes,GPL
8,PowerDNS,PowerDNS.COM BV / Bert Hubert,Free,Yes,GPL
9,MaraDNS,Sam Trenholme,Free,Yes,BSD variant
10,pdnsd,Thomas Moestl and Paul Rombouts,Free,Yes,GPL
11,Posadis,Meilof Veeningen,Free,Yes,GPL
12,Unbound,NLnet Labs,Free,Yes,BSD
13,YADIFA,EURid,Free,Yes,BSD
14,Secure64 DNS Authority,Secure64,Unpublished price,No,Clickwrap license
15,Secure64 DNS Cache,Secure64,Unpublished price,No,Clickwrap license
