,Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
0,AbsoluteTelnet,Celestial Software,1996,"9.49 July 2, 2012; 7 years ago",Proprietary,Yes
1,Beyond Compare,Scooter Software,1996,"4.3.3 December 2, 2019; 3 days ago",Proprietary,Yes
2,Commander One,Eltima Software,2015,"1.1 September 29, 2015; 4 years ago",Proprietary,Yes
3,CrossFTP Pro,CrossFTP Software,2006,"1.98.7 December 19, 2017; 23 months ago",Proprietary,Yes
4,CuteFTP,Alex Kunadze/Globalscape,1994,"9.3.0 (Windows) July 11, 2018; 16 months ago / 3.1.3 (Mac) May 2, 2014; 5 years ago",Proprietary,Yes
5,Directory Opus,GPSoftware,1990,"11.10 December 19, 2014; 4 years ago",Proprietary,Yes
6,FlashFXP,"OpenSight Software, LLC",1999,"5.4.0.3970 April 1, 2017; 2 years ago",Proprietary,Yes
7,FTP Client,Vicomsoft,1997,5.0.1,Proprietary,Yes
8,SmartFTP,SmartSoft Ltd,1998,"6.0.2155.0 July 23, 2015; 4 years ago",Proprietary,Yes
9,Total Commander,Christian Ghisler,1993,"9.21a August 21, 2018; 15 months ago",Proprietary,Yes
10,WebDrive,"South River Technologies, Inc.",1998,"2017 June 16, 2017; 2 years ago",Proprietary,Yes
11,WS_FTP,"Ipswitch, Inc.",1996,"12.7 November 27, 2018; 12 months ago",Proprietary,Yes
12,Yummy FTP,Yummy Software,2004,"1.9.0 May 10, 2018; 18 months ago","Proprietary, Setapp",?
