,Editor,Windows,OS X,Linux,BSD,Unix,iOS,Android
0,Amaya,Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,No,No
1,Aptana,Yes,Yes,Yes,Yes,No,No,No
2,Arachnophilia,Yes,Yes,Yes,Yes,No,No,No
3,Bluefish,Yes,Yes,Yes,Yes,Yes,No,No
4,BlueGriffon,Yes,Yes,Yes,No,No,No,No
5,Brackets,Yes,Yes,Yes,No,No,No,No
6,Claris Homepage,Terminated (3.0),No,No,No,No,No,No
7,Codelobster,Yes,No,No,No,No,No,No
8,CoffeeCup HTML Editor,Yes,Yes,No,No,No,No,No
9,CudaText,Yes,Yes,Yes,Yes,Yes,No,No
10,Contribute,Yes,Yes,No,No,No,No,No
11,Dreamweaver,Yes,Yes,No,No,No,No,No
12,EZGenerator,Yes,No,No,No,No,No,No
13,Freeway,No,Yes,No,No,No,No,No
14,GoLive,Terminated (9.0),Terminated (9.0),No,No,No,No,No
15,HTML-Kit,Yes,No,No,No,No,No,No
16,KompoZer [3],Yes,Yes,Yes,Yes,No,No,No
17,LibreOffice,Yes,Yes,Yes,source only,source only,No,No
18,Maqetta,Yes,Yes,Cloud[4],Cloud[4],No,No,No
19,Microsoft Expression Web,Yes,No,No,No,No,No,No
20,Microsoft FrontPage,Terminated (2003),No,No,No,No,No,No
21,Microsoft SharePoint Designer,Yes,No,No,No,No,No,No
22,Microsoft Visual Web Developer,Yes,No,No,No,No,No,No
23,Web Architect,Yes,No,No,No,No,No,No
24,Mobirise,Yes,Yes,No,No,No,No,Yes
25,Mozilla Composer,Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),No,No
26,Nvu [5],Terminated (1.0),Terminated (1.0),Terminated (1.0),Terminated (1.0),No,No,No
27,openElement,Yes,No,No,No,No,No,No
28,OpenOffice.org,Yes,Yes,Yes,source only,source only,No,No
29,oXygenXML Editor,Yes,Yes,Yes,Yes,Yes,No,No
30,Quanta Gold (deprecated),Yes,Yes,Yes,No,No,No,No
31,Quanta Plus,No,Terminated 2009,Terminated 2009,Terminated 2009,Terminated 2009,No,No
32,RocketCake,Yes,Yes,No,No,No,No,No
33,SeaMonkey Composer,Yes,Yes,Yes,Yes,Yes,No,No
34,TOWeb,Yes,No,No,No,No,No,No
35,WebStorm IDE,Yes,Yes,Yes,Yes,Yes,No,No
36,Editor,Windows,OS X,Linux,BSD,Unix,iOS,Android
