,Specification,HTML 3.2,HTML 4.01,HTML 4.01.1,HTML 4.01.2,HTML 5,XHTML 1.0,XHTML 1.0.1,XHTML 1.0.2,XHTML 1.1,Validating
0,Variant,,strict,trans.,f.set,,strict,trans.,f.set,,
1,Amaya,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
2,Aptana,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?
3,Arachnophilia,?,?,?,?,No,Yes,?,?,?,Yes
4,Bluefish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[12]
5,BlueGriffon,No,Yes,Yes,?,Yes,Yes,Yes,?,?,?
6,Brackets,?,?,?,?,?,?,?,?,?,?
7,Claris Homepage,?,?,?,?,No,?,?,?,?,?
8,Codelobster,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,CoffeeCup HTML Editor,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Contribute,?,?,?,?,?,?,?,?,?,?
11,Dreamweaver,Yes,Yes,Yes,Yes,Yes [13],Yes,Yes,Yes,Yes,Yes
12,Freeway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
13,GoLive,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,?
14,HTML-Kit,?,?,Yes,?,No,?,Yes,?,?,Yes
15,LibreOffice,?,Yes,Yes,?,Yes,Yes,Yes,?,Yes,?
16,KompoZer,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
17,Maqetta,?,?,?,?,Yes,?,?,?,?,?
18,Microsoft Expression Web,No,Yes,Yes,Yes,Yes[14],Yes,Yes,Yes,Yes,Yes
19,Microsoft FrontPage,?,?,?,?,No,?,?,?,?,?
20,Microsoft SharePoint Designer,?,?,?,?,No,?,?,?,?,?
21,Microsoft Visual Web Developer,?,?,?,?,No,?,?,?,?,?
22,Mozilla Composer,?,?,?,?,No,?,?,?,?,?
23,openElement,?,?,?,?,Yes,?,?,?,?,Yes
24,OpenOffice.org,?,Yes,Yes,?,Yes,Yes,Yes,?,Yes,?
25,oXygenXML Editor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
26,Quanta Gold,?,?,?,?,No,?,?,?,?,?
27,Quanta Plus,?,?,?,?,No,?,?,?,?,?
28,RocketCake,?,?,Yes,?,Yes,?,?,?,?,?
29,SeaMonkey Composer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,TOWeb,No,No,No,No,Yes,No,No,No,No,Yes
31,Web Architect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[15]
32,WebStorm IDE,?,?,?,?,Yes,?,?,?,?,?
33,Variant,,strict,trans.,f.set,,strict,trans.,f.set,,
34,Specification,HTML 3.2,HTML 4.01,HTML 4.01,HTML 4.01,HTML 5,XHTML 1.0,XHTML 1.0,XHTML 1.0,XHTML 1.1,Validating
