,IPA,p,b,pʰ,m,t,tʰ,n,nŋ,l,k,ɡ,kʰ,h,tɕi,ʑi,tɕʰi,ɕi,ts,dz,tsʰ,s
0,Pe̍h-ōe-jī,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,chi,ji,chhi,si,ch,j,chh,s
1,Revised TLPA,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,zi,ji,ci,si,z,j,c,s
2,TLPA,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,zi,ji,ci,si,z,j,c,s
3,BP,b,bb,p,bb,d,t,n,lng,l,g,gg,k,h,zi,li,ci,si,z,l,c,s
4,MLT,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,ci,ji,chi,si,z,j,zh,s
5,DT,b,bh,p,m,d,t,n,nng,l,g,gh,k,h,zi,r,ci,si,z,r,c,s
6,Taiwanese kana,パア,バア,パ̣ア,マア,タア,タ̣ア,ナア,ヌン,ラア,カア,ガア,カ̣ア,ハア,チイ,ジイ,チ̣イ,シイ,サア,ザア,サ̣ア,サア
7,Extended bopomofo,ㄅ,ㆠ,ㄆ,ㄇ,ㄉ,ㄊ,ㄋ,ㄋㆭ,ㄌ,ㄍ,ㆣ,ㄎ,ㄏ,ㄐ,ㆢ,ㄑ,ㄒ,ㄗ,ㆡ,ㄘ,ㄙ
8,Tâi-lô,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,tsi,ji,tshi,si,ts,j,tsh,s
9,Example (traditional Chinese),報紙,閩南,普通,請問,豬肉,普通,過年,雞卵,樂觀,價值,牛奶,客廳,煩惱,支持,漢字,支持,是否,報紙,熱天,參加,司法
10,Example (simplified Chinese),报纸,闽南,普通,请问,猪肉,普通,过年,鸡卵,乐观,价值,牛奶,客厅,烦恼,支持,汉字,支持,是否,报纸,热天,参加,司法
