,IRC daemon,Windows,DOS,Mac OS,Linux,BSD,Solaris,HP-UX,AIX,select(),poll(),epoll[55],kqueue[56],threads,RT signals[57],/dev/poll[58],Windows IOCP[59],Solaris IOCP[60]
0,Bahamut,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,No,No,Yes,No,No
1,bIRCd,Yes,No,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No,Unknown,No,No,No,No
2,Charybdis,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
3,ConferenceRoom,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Unknown,No,Yes,Yes,No
4,FoxEye ircd,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Yes,No,No,Yes,No,No,No,No
5,InspIRCd[61][62],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,Yes,Yes,Yes
6,IRCD[63],Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
7,ircd-hybrid,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
8,ircd-ratbox,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
9,ircu,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
10,ithildin,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Unknown,No,No,No,No
11,miniircd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
12,Nefarious IRCu,No,No,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,No,No,Yes,No,No
13,ngIRCd,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
14,OfficeIRC Server,Yes,No,Yes,Emulated,Yes,No,No,No,Unknown,Unknown,No,No,Unknown,No,No,Yes,No
15,Oragono,Yes,No,Yes,Yes,Yes,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No
16,PleXusIRCd,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No
17,pureIRCd,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No
18,RockIRCd,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No
19,RubIRCd,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
20,ShadowIRCd,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
21,snircd,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Yes,No,No
22,solid-ircd,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,No,Yes,No,No
23,Synchronet IRCd,Yes,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,No,Yes,No,No
24,UnrealIRCd,Yes,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,No,No,No,No,No
25,WeIRCd,Yes,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,No,No,Unknown,No,No,No,No
