,Unnamed: 0,Creator,Latest release date,Current stable version,Programming language,License
0,bbPress[1],WordPress Foundation,2019-09-04,5.2.3,PHP[2],GPL[3]
1,Beehive Forum[4],Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
2,Discourse[5],"Civilized Discourse Construction Kit, Inc.",2019-11-06,2.3.6,"Ruby, JavaScript",GPL
3,Discuz![6],Comsenz Inc.,2018-01-01,X3.4,PHP,"Discuz! EULA (proprietary, gratis for non-commercial use)"
4,FluxBB[7],FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
5,FUDforum[8],Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
6,Ikonboard[9],Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
7,Invision Power Board[10],Invision Power Services Inc.,2019-06-12,4.4.4,PHP,Proprietary
8,MyBB[11],MyBB Group,2019-06-10,1.8.21,PHP,"LGPL, moving to BSD in 2.0[12]"
9,Phorum[13],Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
10,phpBB[14],phpBB Ltd.,2019-05-05,3.2.8,PHP,GPL
11,PunBB[15],PunBB,2015-10-14,1.4.4,PHP,GPL
12,Simple Machines Forum[16],Simple Machines,2017-11-19[17],2.0.15[17],PHP,BSD License
13,Syndie[18],Anonymous (related to I2P),2014-08-14,1.107b,Java,"Open source, multiple licenses"
14,Thredded[19],"Joel Oliveira, Gleb Mazovetskiy, et al.",2019-08-17,0.16.13,Ruby,MIT
15,Vanilla Forums[20],Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary/GPL[21]
16,vBulletin[22],vBulletin Solutions Inc.,2019-05-14,5.5.2,PHP[23],Proprietary[24]
17,XenForo,"XenForo Limited, Kier Darby, Mike Sullivan.",2019-03-12,2.1.1,PHP[25],Proprietary
18,,Creator,Latest release date,Current stable version,Programming language,License
