,Unnamed: 0,FAT12,FAT16,FAT32,HPFS,ISO 9660,NTFS,exFAT,UDF,ReFS
0,"Windows NT 3.1, 3.5, 3.51",Yes,Yes,No,Yes,Yes,Yes v1.0/v1.1,No,?,No
1,Windows NT 4.0,Yes,Yes,No,Partial,Yes,Yes v1.2,No,?,No
2,Windows 2000,Yes,Yes,Yes,No,Yes,Yes v3.0,No,Yes,No
3,Windows XP,Yes,Yes,Yes,No,Yes,Yes v3.1,Optional,Yes (2.01),No
4,Windows Server 2003,Yes,Yes,Yes,No,Yes,Yes v3.1,Optional,Yes,No
5,Windows Vista,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),No
6,Windows Server 2008,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes,No
7,Windows 7,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
8,Windows Server 2008 R2,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
9,Windows Server 2012,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
10,Windows 8,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),No
11,Windows 8.1,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
12,Windows Server 2012 R2,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
13,Windows 10,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
14,Windows Server 2016,Yes,Yes,Yes,No,Yes,Yes v5,Yes,Yes (2.6),Yes
