,Name,Architecture,Store,Integrated firewall,SMP support,USB support,UDMA support,Long filename support,Package management,Update management,APIs,DDIs,Safe Mode,Data Execution Prevention,DirectX
0,Windows NT 3.1,"IA-32, DEC Alpha, MIPS",,No,Yes,No,?,Yes (NTFS and HPFS volumes only),,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
1,Windows NT 3.5,"IA-32, DEC Alpha, MIPS",,No,Yes,No,?,Yes (except on CDFS volumes),,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
2,Windows NT 3.51,"IA-32, DEC Alpha, MIPS, PowerPC",,No,Yes,No,?,Yes (except on CDFS volumes),,,"Win32, OS/2, POSIX","DLL, KMD",No,No,No
3,Windows NT 4.0,"IA-32, DEC Alpha, MIPS, PowerPC",,No,Yes,Yes (if the Ion USB update is installed),Yes,Yes,,Windows Update (if Internet Explorer 5 or later is installed),"Win32, OS/2, POSIX","DLL, KMD",No,No,"Yes3.0a,5.0(unofficial)"
4,Windows 2000,IA-32,,No,Yes,Yes (USB 2.0 with update or SP4)[2],Yes,Yes,,"Windows Update, WSUS","Win32, OS/2, POSIX","DLL, KMD, WDM, KMDF",Yes,No,"Yes7.0,9.0c(feb2010)(optional)"
5,Windows XP,"IA-32(NT5.1), Itanium(NT5.1/5.2), x64(NT5.2)",,Yes,Yes (Professional Edition only),Yes (USB 2.0 with update or SP1+)[3],Yes,Yes,,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes (in SP2),Yes9.0c
6,Windows Server 2003,"IA-32, Itanium, x64",,Yes,Yes,Yes (USB 2.0)[4],Yes,Yes,,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes (in SP1),Yes9.0c
7,Windows Fundamentals for Legacy PCs,IA-32,,Yes,No,Yes,Yes,Yes,,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes9.0c
8,Windows Vista,"IA-32, x64",Windows Marketplace,Yes,Yes,Yes (USB 2.0),Yes,Yes,,"Windows Update, WSUS","Win32, .NET, POSIX (only Enterprise and Ultimate)","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes10.111.0(optional)
9,Windows Server 2008,"IA-32, Itanium, x64",,Yes,Yes,Yes (USB 2.0),Yes,Yes,,"Windows Update, WSUS",Win32,"DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes10.111.0(optional)
10,Windows Home Server,IA-32,,?,Yes,Yes (USB 2.0),?,Yes,,Windows Update,Win32,"DLL, KMD, WDM, KMDF, UMDFv1",?,?,Yes9.0c
11,Windows 7,"IA-32, x64",,Yes,Yes,Yes (USB 3.0),Yes,Yes,,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes11.011.1(optional)
12,Windows Server 2008 R2,"Itanium, x64",,Yes,Yes,Yes (USB 3.0),Yes,Yes,,"Windows Update, WSUS","Win32, .NET","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes11.011.1(optional)
13,Windows Home Server 2011,x64,,?,Yes,Yes (USB 3.0),?,Yes,,Windows Update,Win32,"DLL, KMD, WDM, KMDF, UMDFv1",?,?,Yes11.011.1(optional)
14,Windows Server 2012,x64,Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes11.1
15,Windows 8,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1",Yes,Yes,Yes11.1
16,Windows 8.1,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,"Windows Store, PowerShell","Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes11.2
17,Windows Server 2012 R2,x64,Windows Store,Yes,Yes,Yes (USB 3.0),Yes,Yes,Windows Store,"Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes11.2
18,Windows 10,"IA-32, x64",Windows Store,Yes,Yes,Yes (USB 3.1 and Thunderbolt 3),Yes,Yes,"Windows Store, PowerShell","Windows Update, WSUS, Windows Store","Win32, .NET, WinRT, Linux","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes12
19,Windows Server 2016,x64,Windows Store,Yes,Yes,Yes (USB 3.1 and Thunderbolt 3),Yes,Yes,Windows Store,"Windows Update, WSUS, Windows Store","Win32, .NET, WinRT","DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2",Yes,Yes,Yes12
