,Unnamed: 0,1999,1999.1,1999.2,2000,2000.1,2000.2,2000.3,2001,2001.1,2001.2,2001.3,2002,2002.1,2002.2,2002.3,2003,2003.1,2003.2,2003.3,2004,2004.1,2004.2,2004.3,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3
0,,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,Professional,D1-E,D1-E,D1-E,D1-E,D1-E,D1-E,D1-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D1X-E,D2X-E,D2X-E,D2X-E,D2X-E,D2X-E,D2X-E,D2X-E,D2Xs-E,D2Xs-E,D2Xs-E,D2Xs-E,D2Xs-E,,,,,,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,D3X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Professional,,,,,,,,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D1H-E,D2H-E,D2H-E,D2H-E,D2H-E,D2H-E,D2H-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D2Hs-E,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3S,D3S,D3S,D3S,D3S,D3S,D3S,D3S,D3S,D4,D4,D4,D4,D4,D4,D4,D4,D4S,D4S,D4S,D4S,D4S,D4S,D4S,D4S,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5
3,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D800 / D800E,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D810 / D810A,D850,D850,D850,D850,D850,D850,D850,D850,D850,D850
4,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df,Df
5,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,D700,,,,,,,,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750,D750
6,Advanced,,,,,,,,,,,,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D100-E,D200-E,D200-E,D200-E,D200-E,D200-E,D200-E,D200-E,D300,D300,D300,D300,D300,D300,D300,D300,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,D300S,,,,,,,,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500,D500
7,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D600,D600,D600,D600,D600,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610,D610
8,Mid-range,,,,,,,,,,,,,,,,,,,,D70-E,D70-E,D70-E,D70-E,D70-E,D70s-E,D70s-E,D70s-E,D70s-E,D70s-E,D80-E,D80-E,D80-E,D80-E,D80-E,D80-E,D80-E,D80-E,D90-E,D90-E,D90-E,D90-E,D90-E,D90-E,D90-E,D90-E,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7000-P,D7100,D7100,D7100,D7100,D7100,D7100,D7100,D7200,D7200,D7200,D7200,D7200,D7200,D7200,D7200,D7200,D7500,D7500,D7500,D7500,D7500,D7500,D7500,D7500,D7500,D7500,D7500
9,Upper-entry,,,,,,,,,,,,,,,,,,,,,,,,,D50-E,D50-E,D50-E,D50-E,D50-E,D50-E,,,D40X-E,D40X-E,D40X-E,D60-E,D60-E,D60-E,D60-E,D60-E,D5000-P,D5000-P,D5000-P,D5000-P,D5000-P,D5000-P,D5000-P,D5000-P,D5100-P,D5100-P,D5100-P,D5100-P,D5100-P,D5100-P,D5200,D5200,D5200,D5200,D5300,D5300,D5300,D5300,D5300,D5500,D5500,D5500,D5500,D5500,D5500,D5500,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600,D5600
