,OLAP server,Semi-additive measures,Many-to-Many,Multi-Cube Model,Perspectives,KPI,Multilingual,Named Sets,Multi-attribute Hierarchies,Actions
0,Apache Kylin,No,No,Yes,No,Yes,Yes,No,Yes,Yes
1,Druid,Yes,Yes,Yes,?,No,Yes,?,Yes,Yes
2,Apache Pinot (Incubating),Yes,Yes,Yes,?,?,No,No,No,No
3,Essbase,Yes,?,?,?,Yes,Yes,Yes,Yes,?
4,IBM Cognos BI,Yes,Yes,?,?,?,?,Yes,Yes,?
5,IBM Cognos TM1,Yes,Yes,Yes,?,?,?,?,?,?
6,icCube,Yes[32],Yes[33],Yes,Yes,?,Yes,Yes,?,?
7,Infor BI OLAP Server,Yes,?,Yes,?,Yes,?,?,?,?
8,Jedox OLAP Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
9,Kyligence,Yes,No,Yes,No,Yes,Yes,?,Yes,?
10,Kyvos,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
11,Microsoft Analysis Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,MicroStrategy Intelligence Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Mondrian OLAP server,Yes[34],?,?,?,?,?,?,?,?
14,Oracle Database OLAP Option,Yes,?,?,?,?,?,?,?,?
15,SAP NetWeaver BW,Yes,?,?,?,?,?,?,?,?
16,SAS OLAP Server,Yes,?,?,?,?,?,?,?,?
