,Unnamed: 0,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
0,Butler Office Pro X,2.2.0[11],Mac OS X,Butler Office Pro X,Butler Software Solutions,Proprietary,Yes,,Full support via email
1,DataViz Slideshow To Go,11.000[12],"Palm OS, Windows Mobile, Symbian (UIQ, S80)",Documents To Go,DataViz,Proprietary,Yes,,
2,EIOffice Presentation,"2009, 5.0.1272.101[13]","Windows, Linux",EIOffice,Evermore Software,Proprietary,Yes,,Import only[13]
3,Go-oo Impress,3.0.0[14],"Windows, Linux, Unix, Mac OS X",Go-oo,Free software community,"LGPL, CDDL",Yes,,Import only
4,IBM Lotus Symphony,1.3[16],"Windows, Mac OS X, Linux",IBM Lotus Symphony,IBM,Proprietary,Yes,,Import only
5,Keynote,'08[38],Mac OS X,iWork,Apple Inc.,Proprietary,Yes,,
6,LibreOffice,All versions,"Windows, OS X, Linux, Unix, Android",,The Document Foundation,MPL,Yes,Yes,
7,Microsoft Office PowerPoint,"2013, 2011 for Mac","Windows, Mac OS X",Microsoft Office,Microsoft,Proprietary,Yes,Yes,
8,Microsoft Office Mobile PowerPoint Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary,Yes,,
9,NeoOffice Impress,2.2.5[36],Mac OS X,NeoOffice,"Patrick Luby, Edward Peterlin",GPL,Yes,,
10,ONLYOFFICE,5.2[27],Web Application,ONLYOFFICE,Ascensio System SIA,"Proprietary, AGPL",Yes,,
11,OpenOffice.org Impress,3.0,"Windows, Linux, Unix, Mac OS X",OpenOffice.org,OpenOffice.org,LGPL,Yes,,Import only
12,Corel Presentations,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary,Yes,,Import only
13,StarOffice Impress,9[30],"Windows, Linux, Solaris",StarOffice,Sun Microsystems,Proprietary,Yes,,Import only[31]
14,Thinkfree Office Show,[33],"Windows, Mac OS X, Linux",Thinkfree Office,ThinkFree Corp,Proprietary,Yes,,
15,,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
