,Classical Latin(spelling),Vulgar Latin(pronunciation),Spanish,Spanish.1,Portuguese,Portuguese.1
0,Classical Latin(spelling),Vulgar Latin(pronunciation),Spelling,Pronunciation,Spelling,Pronunciation
1,a,/a/,a ~ á,/a/,a ~ á ~ â,/a/ ~ /ɐ/1
2,ā,/a/,a ~ á,/a/,a ~ á ~ â,/a/ ~ /ɐ/1
3,"e, ae",/ɛ/,ie ~ ié,/je̞/,e ~ é,/ɛ/
4,"ē, oe",/e/,e ~ é,/e̞/,e ~ ê,/e/
5,i,/e/,e ~ é,/e̞/,e ~ ê,/e/
6,ī,/i/,i ~ í,/i/,i ~ í,/i/
7,o,/ɔ/,ue ~ ué,/we̞/,o ~ ó,/ɔ/
8,ō,/o/,o ~ ó,/o̞/,o ~ ô,/o/
9,u,/o/,o ~ ó,/o̞/,o ~ ô,/o/
10,ū,/u/,u ~ ú,/u/,u ~ ú,/u/
11,au,/aw/,o ~ ó,/o̞/,ou,/ow/²
