,Portuguese,Spanish,English
0,cola (< Lat. coloere),"pegamento, cola (< Lat. pix, < Lat. coloere)",glue
1,vaso (< Lat. vasum),"maceta, tiesto (< Hisp.-Ar. maceta, maybe < Ital. mazzetto; < Lat. testu)","vase, flowerpot"
2,floco (< Lat. floccus),copo (< Lat. cuppa),flake
3,competência (< Lat. competentia),"aptitud, capacidad (< Lat. aptitūdo; capacĭtātis)","competence, competency"
4,despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
5,osso (< Lat. ossum),hueso (< Lat. ossum),bone
6,pez (< Lat. pix),brea (< Fr. brayer),"pitch, resin"
7,polvo (< Gr. πολύπους),pulpo (< Gr. πολύπους),octopus
8,tenda (< Lat. tenda < tendĕre),"tienda, lona, toldo (< Lat. tenda < tendĕre; < Fr. Olonne; < Fr. taud < Old Germ. tialz)","tent, marquee"
9,ganância (< Gothic ganan),"codicia, avaricia, afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae)","greed, avarice, covetousness"
10,inversão (< Lat. inversionis),inversión (< Lat. inversionis),inversion
11,"embaraçada (< Lat. in + O.Port. baraça, of uncertain origin)",avergonzada (< Lat. verecundia),embarrassed
12,estafa (< Ital. staffa),"agotamiento, fatiga, extenuación (< Lat.gutta; < Lat.fatigāre; < Lat. extenuāre)","exhaustion, tiredness, wear out"
13,esquisito (< Lat. exquisitus),"raro, extraño, peculiar (< Lat. rarus; < Lat. extrāneus; < Lat. peculiāris)","odd, strange, peculiar"
14,moléstia (< Lat. molestiae),"enfermedad, achaque, plaga, peste (< Lat. infirmitas; < Ar. šakā; < Lat. plaga; < Lat. pestis )","disease, plague"
15,serviço (< Lat. servitium),servicio (< Lat. servitium),service
16,"perro (origin uncertain, maybe < Sp. perro)",oxidado (< Greek oxis + Lat. suffix -tatus),rusty
17,berro (< Lat. barrire),"chillido, berrido (< Lat. cisclare; < Lat. barrire)","screech, shriek"
18,aceite (< Lat. acceptāre),aceptado (< Lat. acceptāre),accepted
19,oficina (< Lat. officīna < officium),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. αὐτο),"auto repair centre, repair garage, workshop"
20,firma (< Lat. firmus),"empresa; compañía; sociedad, negocio (< Lat. prenhendere; companio; societas; nec otium)","business, firm, company, corporation, enterprise, venture, establishment, group, house"
21,presunto (< Lat. persuctus),jamón (< Fr. jambon),"ham, prosciutto"
22,risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),"risk, line"
23,topo (< Gr. tópos),cumbre (< Lat. columen or culmen),top
