,Meaning,Spanish,Portuguese,Notes
0,"newspaper, journal",periódico < Lat. periodĭcus < gr. περιοδικός [16],jornal < Fra. journal,
1,journalist,periodista < Lat. periodĭcus < gr. περιοδικός [17],jornalista < Fra. journaliste,
2,journey,recorrido < Lat. recurrēre [18],jornada < Provençal. jornada < jorn[19],
3,shop window,escaparate < Ned. schaprade[20],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
4,"boutique, clothes store",tienda< Lat. tenda[21],"boutique, butique < Fra. boutique[22]",
5,scarf,"bufanda < Uncertain, maybe O.Fra. bouffant[23]","cachecol, écharpe cache-col, écharpe[24]",
6,"lampshade, bedside lamp",lámpara < Lat. < Gre. lampāda < λαμπάς[25],abajur < Fra. abat-jour[26],
7,New Year's Eve,Nochevieja < Lat. noctis + veclus < vetūlus[27],Reveillon < Fra. Reveillon,
8,frisson,escalofrío < Lat. + prefix ex + cale+ frige[28],frisson < Fra. frisson[29],
9,"gaffe, blunder",metedura de pata < Lat. + Ar. < mittēre + batt[30],gafe < Fra. gaffe [31],
10,brioche,"bollo de leche < Lat. < bulla + lactis[32], [33]",brioche < Fra. brioche [34],
11,croissant,medialuna < Lat. < media + luna[35],"croissant, croassã < Fra. croissant [36]",
12,"courgette, zucchini",calabacín < Pre-roman calabaza[37],"courgette, curgete < Fra. courgette [38]",
13,blueberry,arándano < Celt + Lat. aran + rodamdārum[39],mirtilo < Fra. myrtille [40],In Por. arando < Celt aran means cranberry
14,"billy club, truncheon",porra < Lat. porrum[41],"cassetete, casse-tête < Fra. casse-tête [42]",
15,creche,guardería infantil <Ger. + Lat. warda + infantīlis [43],creche < Fra. crèche[44],
16,voyeur,mirón < Lat. mirāri [45],voyeur < Fra. voyeur,
17,omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette[46],
18,swing,columpio < Leon. < Gr. columbiar < κολυμβᾶν kolymbân [47],balancé < Fra. balancé[48],
19,lipstick,pintalabios < Lat. pinctāre + labium [49],batom < Fra. bâton[50],
20,cap,gorra < uncertain gorra [51],boné < Fra. bonnet[52],
21,(train) station,estación (ferrocarril) < Lat. statiōnis[53],gare < Fra. gare [54],The term gare in Port. is also used for bus-station.
22,"quay, jetty, key",muelle < Lat. mollis[55],cais < Fra. quai [56],The term cais in Port. is also used for railway platforms.
23,vehicle,vehículo < Lat. vehiculum[57],viatura < Fr. voiture [58],
24,"package, packaging",envase < Lat. in + vasum[59],embalagem < Fr. emballage [60],
25,rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole[61]",
26,souvenir,recuerdo < Lat. recordāri[62],"souvenir, suvenir < Fr. souvenir [63]",
27,strike,huelga < Lat. follicāre[64],greve < Fr. grève [65],
