,Meaning,Spanish,Portuguese,Unnamed: 3
0,mayor,alcalde < Hisp. Ar. < Arabic alqáḍi < qāḍi [68],presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praefēctus,
1,"bricklayer, stonemason",albañil < Hisp. Ar. < Arabic albanní < bannā[69],pedreiro < Lat. petra,
2,potter,alfarero < Hisp. Ar. < Arabic alfaẖ ẖār < faẖ ẖār[70],oleiro < Lat. ollarius,
3,vest,chaleco < Alg. Ar. < Turk xileco < yelek[71],colete < Ita. coletto,
4,basil,albahaca < Hisp. Ar. < Arabic alḥabáqa < ḥabaqah[72],"basílico, manjericão < Lat., uncertain origin basilicum, uncertain",
5,bean,alubia < Hisp. Ar. < Arabic alubía < al-lubiya اٌٍىتيا[73],feijão < Lat. faseolus [74],
6,celery,chirivía < Hisp. Ar. alcaravea < alkarawíyya [75][76],aipo < Lat. apium,
7,watermelon,sandía < Hisp. Ar. < Arabic sindiyya ضىذيح[73],melancia < Lat. bilanx,
8,thrush,zorzal < Hisp. Ar. < Arabic zurzál < zurzir[77],tordo < Lat. turdus,
9,hobby (bird),alcotán < Hisp. Ar. < Arabic quṭán < qaṭām[78],ógea < uncertain origin *maybe O.Fra. hobe[79],
10,mackerel,jurel < Hisp. Ar < Lat šuríl < saurus[80],cavala < Gaulish < Celt . caballos [81],
11,scorpion,"alacrán, escorpión < His. Ar. < Arabic, Lat. al‘aqráb < aqrab, scorpīo [82]",escorpião < Lat. scorpīo,
12,breast cancer,"zaratán, cáncer de mama < Arabic, Lat. saratan, cancer mamma [73]",cancro/câncer da mama < Lat. cancer mamma,
13,robe (bath),albornoz < Hisp. Ar. < Arabic burnús < burnūs [83],"roupão, robe < Gothic, Fra. rauba, robe [84]",
14,"hostess, stewardess",azafata < Hisp. Ar < Arabic. assafáṭ < safáṭ[85],hospedeira (de bordo) < Lat. hospitis [86],
15,"sewage (system), gutter",alcantarilla < Hisp. Ar. < Arabic alqánṭara < qánṭarah[87],"esgoto, goteira < Lat. guttae [88]",
16,jerk,mamarracho < Hisp. Ar < Arabic muharráǧ < muharriǧ[89],parvo < Lat . parvulus [90],
17,"drunk, drunkard",borracho < Cat < Arabic marratxa < mirrassa[91],bêbado < Lat . bibitum,
18,"to crimp, to compress, to link (verb)",engarzar < Hisp. Ar. < Arabic ḡárza< ḡarzah[92],"engrenar, endentar, comprimir < Lat. granum, dens, comprimere",
19,"to duck out, to skive off (verb)",escaquearse < Hisp. Ar. < Arabic iššáh < šāh[93],"escapar < Lat. < Proto-Italic excappā < , kaput",
20,to save(financial) (verb),ahorrar < Arabic. alhurr الحر[94],poupar < Lat. palpō < palpāre,
21,"corner, edge",rincón < Hisp. Ar. < Arabic rukán < rukn[95],canto < Celtic kant[96],
22,"flowerbed, small garden, vegetable patch",arriate < Hisp. Ar. < Arabic arriyáḍ <riyāḍ [97],canteiro < Celtic kant[96],
23,Majorcan,mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy,Maiorquino < Lat maiorica + -inus,
24,Iraqi,"iraquí, irakí < Arabic demonym iraqiyy عراقي[98]",Iraquiano < Lat. + suffix Iraqi + -anus,
