,English,Irish,Scottish Gaelic,Notes
0,in,"i, in",(ann) an,"In Classical Irish the forms were ""i"", ""a"", ""in"", ""an"" – ""i/in"" when the following sound was slender, and ""a/an"" when the following sound was broad. In both Irish and Scottish, in the spoken language, the four forms of ""i"", ""a"", ""in"", ""an"" still exist."
1,minister,"ministir, ministéir",ministear,"In Irish, aire for a government minister"
2,Bible,Bíobla,Bìoball,
3,Germany,An Ghearmáin,A' Ghearmailt,
4,America,"Meiriceá, Meirice",Ameireaga,
5,England,Sasana,Sasainn,
6,London,Londain,Lunnain,
7,road,bóthar/ród,rathad,
8,cold (sickness),slaghdán,cnatan,Meaning illness
9,talking,ag caint,a' bruidhinn,"Bruíon (formerly bruighean) in Irish means ""fighting"", ""quarrelling."" Cainnt in Scottish Gaelic is used as a noun only, meaning ""speech,"" except in Arran where it is also a verb[9]"
