,Implementation,SSL 2.0 (insecure)[31],SSL 3.0 (insecure)[32],TLS 1.0[33],TLS 1.1[34],TLS 1.2[35],TLS 1.3,DTLS 1.0[36],DTLS 1.2[29]
0,Botan,No,No[37],Yes,Yes,Yes,,Yes,Yes
1,BoringSSL,,,Yes,Yes,Yes,Yes(draft version),Yes,Yes
2,Bouncy Castle,No,No,Yes,Yes,Yes,Yes(draft version),Yes,Yes
3,cryptlib,No,Disabled by default at compile time,Yes,Yes,Yes,,No,No
4,GnuTLS,No[a],Disabled by default[38],Yes,Yes,Yes,Yes[39],Yes,Yes
5,JSSE,No[a],Disabled by default[40],Yes,Yes,Yes,Yes(JDK 11+)[41],Yes,Yes
6,LibreSSL,No[42],No[43],Yes,Yes,Yes,Not yet[44],Yes,No
7,MatrixSSL,No,Disabled by default at compile time[45],Yes,Yes,Yes,Yes,Yes,Yes
8,mbed TLS,No,Disabled by default[46],Yes,Yes,Yes,,Yes[46],Yes[46]
9,NSS,No[b],Disabled by default[47],Yes,Yes[48],Yes[49],Yes[50],Yes[48],Yes[51]
10,OpenSSL,No[52],Disabled by default,Yes,Yes[53],Yes[53],Yes,Yes,Yes[54]
11,RSA BSAFE[55],No,Disabled by default,Yes,Yes,Yes,Not yet,No,No
12,S2n[56],No,Disabled by default,Yes,Yes,Yes,,No,No
13,"SChannel XP, 2003[57]",Disabled by default in MSIE 7,Enabled by default,Enabled by default in MSIE 7,No,No,,No,No
14,SChannel Vista[58],Disabled by default,Enabled by default,Yes,No,No,,No,No
15,SChannel 2008[58],Disabled by default,Enabled by default,Yes,Disabled by default (KB4019276),Disabled by default (KB4019276),,No,No
16,"SChannel 7, 2008R2[59]",Disabled by default,Disabled by default in MSIE 11,Yes,Enabled by default in MSIE 11,Enabled by default in MSIE 11,,Yes[60],No[60]
17,"SChannel 8, 2012[59]",Disabled by default,Enabled by default,Yes,Disabled by default,Disabled by default,,Yes,No
18,"SChannel 8.1, 2012R2, 10 v1507 & v1511[59]",Disabled by default,Disabled by default in MSIE 11,Yes,Yes,Yes,,Yes,No
19,SChannel 10 v1607 / 2016[61],No,Disabled by default,Yes,Yes,Yes,,Yes,Yes
20,"Secure Transport OS X 10.2-10.7, iOS 1-4",Yes,Yes,Yes,No,No,,No,No
21,"Secure Transport OS X 10.8-10.10, iOS 5-8",No[c],Yes,Yes,Yes[c],Yes[c],,Yes[c],No
22,"Secure Transport OS X 10.11, iOS 9",No,No[c],Yes,Yes,Yes,,Yes,Unknown
23,"Secure Transport OS X 10.13, iOS 11",No,No[c],Yes,Yes,Yes,Yes(draft version)[62],Yes,Unknown
24,wolfSSL,No,Disabled by default[63],Yes,Yes,Yes,Yes,Yes,Yes
25,Erlang/OTP SSL application,No,Disabled by default,Yes,Yes,Yes,Not yet,Yes,Yes
26,Implementation,SSL 2.0 (insecure)[31],SSL 3.0 (insecure)[32],TLS 1.0[33],TLS 1.1[34],TLS 1.2[35],TLS 1.3,DTLS 1.0[36],DTLS 1.2[29]
