,Presidential candidate,Party,Running mate,Campaign site
0,Gene Amondson,Prohibition,Leroy Pletten,geneamondson.com
1,Chuck Baldwin (campaign),Constitution,Darrell Castle,baldwin2008.com
2,Bob Barr (campaign),Libertarian,Wayne Allyn Root,bobbarr2008.com
3,Róger Calero,Socialist Workers,Alyson Kennedy,
4,Charles Jay,Boston Tea,Thomas L. Knapp,CJ08.com
5,Alan Keyes (campaign),America's Independent Party,Brian Rohrbough,alankeyes.com
6,Gloria La Riva,Socialism & Liberation,Eugene Puryear,votepsl.org
7,John McCain (campaign),Republican,Sarah Palin,johnmccain.com
8,Frank McEnulty,New American Independent,David Mangan,frankforpresident.org
9,Cynthia McKinney (campaign),Green,Rosa Clemente,votetruth08.com
10,Brian Moore,"Socialist, Liberty Union",Stewart Alexander,votesocialist2008.org
11,Ralph Nader (campaign),"Independent, Peace and Freedom",Matt Gonzalez,votenader.org
12,Barack Obama (campaign),Democratic,Joe Biden,barackobama.com
13,Ron Paul (campaign),Louisiana Taxpayers Party[1] Constitution Party of Montana[2],"Barry Goldwater, Jr. Michael Peroutka",ronpaul2008.com
14,Thomas Stevens,Objectivist,,
15,Ted Weill,Reform,Frank McEnulty,
