,Projected Federal income tax changes in 2009 assuming all tax proposals were adopted by congress and the budget remains the same. Yellow is for the projected tax change most favorable to people in that income bracket.,Projected Federal income tax changes in 2009 assuming all tax proposals were adopted by congress and the budget remains the same. Yellow is for the projected tax change most favorable to people in that income bracket..1,Projected Federal income tax changes in 2009 assuming all tax proposals were adopted by congress and the budget remains the same. Yellow is for the projected tax change most favorable to people in that income bracket..2
0,,John McCain,Barack Obama
1,Income,Average tax bill,Average tax bill
2,Over $2.9M,"−$269,364","+$701,885"
3,$603K and up,"−$45,361","+$115,974"
4,$227K–$603K,"−$7,871",+$12
5,$161K–$227K,"−$4,380","−$2,789"
6,$112K–$161K,"−$2,614","−$2,204"
7,$66K–$112K,"−$1,009","−$1,290"
8,$38K–$66K,−$319,"−$1,042"
9,$19K–$38K,−$113,−$892
10,Under $19K,−$19,−$567
11,"CNN,[15][16] Tax Policy Center,[17] BarackObama.com,[18] and JohnMcCain.com[19]","CNN,[15][16] Tax Policy Center,[17] BarackObama.com,[18] and JohnMcCain.com[19]","CNN,[15][16] Tax Policy Center,[17] BarackObama.com,[18] and JohnMcCain.com[19]"
