,Unnamed: 0,Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License,"Implementation: language, environment","API: language, environment",Self-hosted server,Text message support,Binary message support,API message-based,API frame-based,API streaming input-output,Flow-control framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pings-pongs,Frame size limit
0,Google Chrome 15[1],Yes,No,15.0.874.812 Sep 2011,8 (10),,Complex,"C++, WebKit","JavaScript, HTML5",No,Yes,Yes,Yes,No,"No, No",No,Yes,No,No,≥ 16 MB(memory-limited?)
1,Google Chrome 16[1],Yes,No,16.0.91213 Dec 2011,13 (17/RFC 6455),,Complex,"C++, WebKit","JavaScript, HTML5",No,Yes,Yes,Yes,No,"No, No",No,Yes,No,No,≥ 16 MB(memory-limited?)
2,Mozilla Firefox 7[2],Yes,No,7 beta12 Sep 2011,8 (10),,"MPL, GPL, LGPL","C++, Necko","JavaScript, HTML5",No,Yes,No,Yes,No,"No, No",No,Yes,No,No,< 16 MB
3,Mozilla Firefox 11[2],Yes,No,11.013 Mar 2012,13 (17/RFC 6455),,"MPL, GPL, LGPL","C++, Necko","JavaScript, HTML5",No,Yes,Yes,Yes,No,"No, No",No,Yes,No,No,< 2 GB(memory-limited?)
4,Achex WS[3],Yes,Yes,2.1717 June 2014,RFC 6455,,Commercial,C++,"C++, JavaScript",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2^16
5,Kaazing WebSocket Gateway[4],Yes,Yes,5.0 Dec 2014,RFC 6455,,"APL2 (Community Edition), commercial (Enterprise Edition)","Java, JMS","JavaScript, Flash/Flex, Silverlight, Objective-C & iOS, Java, Java & Android, .NET, Xamarin",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"memory-limited, configurable"
6,Lightstreamer[5],Yes,Yes,7.0.37 Jan 2019,RFC 6455,,"Commercial, freeware",Java,"JavaScript, Flash/Flex, Silverlight, iOS, macOS, tvOS, watchOS, Java, J2ME, Android, .NET Standard/.NET PCL/Unity",Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,"Data driven, configurable"
7,MigratoryData[6],Yes,Yes,5.0.1513 Oct 2015,RFC 6455,,Commercial,Java,"JavaScript, iOS, Android, Java, C++, .NET, PHP, Node.js, Python, Ruby",Yes,Yes,No,Yes,No,"No, No",Yes,Yes,Yes,No,"263, configurable"
8,noPoll[7],Yes,Yes,0.3.228 aug 2015,RFC 6455,,LGPL 2.1,ANSI C,ANSI C,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"memory-limited, configurable"
9,POCO C++ Libraries[8],Yes,Yes,1.4.623 Sep 2014,RFC 6455,,Boost,"C++, POCO C++ Libraries",C++,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,"memory-limited, configurable"
