,Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB)[1],Initial Release,Latest Stable Release
0,2bwm,C,,Stacking,,No,Yes,,,,Yes,,,
1,9wm,C,MIT,Stacking,No,No,No,,Yes,No,No,0.4,1994,
2,aewm,C,MIT,Stacking,No,No,No,Yes,Yes,No,No,,,
3,awesome,"C, Lua",GPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,9,2007-09-18,
4,Blackbox,C++,MIT,Stacking,No,third-party,with bbkeys,through 0.65 / from 0.70[2],Yes,No,Yes,3,,
5,bspwm,C,BSD[3],Tiling,No,No,with sxhkd,Partial,No,No,No,,2013-04-23,
6,Compiz,C (OpenGL),MIT,Compositing,Yes,Yes,Yes,Yes,third-party,Yes,Yes,,2006,2016-11-11
7,cwm,C,ISC,Stacking,no titlebar buttons,No,Yes,,No,No,Yes,,2004-07-10,
8,dwm,C,MIT,Dynamic,no titlebar buttons,No,Yes,,Yes,No,Yes,1,2006-07-14,
9,Enlightenment,C,BSD,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,,1997,2019-08[4]
10,evilwm,C,MIT[5],Stacking,no titlebar buttons,No,Yes,Partial[6],No,No,Yes,No[citation needed],,
11,EXWM,Emacs Lisp,GPL,Tiling,No,No,Yes,Partial,No,No,Yes,,,
12,Fluxbox,C++,MIT,Stacking,Yes,third-party,Yes,Yes[7],Yes,Yes,Yes,16,,
13,FLWM,C++ (FLTK),GPL,Stacking,,No,Yes,,There is a window list menu,No,No,,1998,
14,FVWM,C,GPL,Dynamic,Yes,No,Yes,Yes,Yes,Yes[8],third-party[9][10],4,1993-06-01,
15,i3,C,BSD,Dynamic,no titlebar buttons,No,Yes,Yes,No,Yes,Yes,3,2009-03-15,
16,IceWM,C++,LGPL,Stacking,Yes,third-party,Yes,Yes,Yes,No,Yes,4.5,1997,2019-03-27
17,Ion,"C, Lua",LGPL with naming restrictions on modified versions,Tiling,no titlebar buttons,No,Yes,,No,Yes,Yes,,2000,2009-01-10
18,JWM,C,MIT (Formerly GPL),Stacking,Yes,third-party,Yes,EWMH,Yes,No,Yes,3,2003,
19,KWin (KDE),C++ (Qt),GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,41,,2019-01
20,Matchbox,C,GPL,Stacking,,,,EWMH compliance,No,No,Yes,,2007-04-13,
21,Metacity (GNOME),"C, C++ (GTK+)",GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,,2002-10,2016-09
22,Mutter (GNOME/MeeGo),C (Clutter),GPL,Compositing,Yes,Yes,Yes,Yes,Gnome Shell,No,Yes,18.6,2011-04,2018-09
23,mwm (Motif Window Manager),C,The Open Group Public License,Stacking,No,No,Yes,,,,can change colours,,1989,
24,Openbox,C,GPL,Stacking,Yes,third-party,Yes,Yes,third-party,No,Yes,7,2002-09-18,
25,PekWM,C++,GPL,Stacking,Yes,No,Yes,Partial,No,Yes,Yes,5.3,,
26,PlayWM,C,GPL,Stacking,Yes,No,Yes,Yes,Yes,No,Yes,,,
27,Ratpoison,C,GPL,Tiling,No,No,Yes,No,No,No,No,1,2000-12-04,
28,Sawfish,"Lisp, C",GPL,Stacking,Yes,Yes,Yes,Partial,Yes,primitive,Yes,3.1,2000-01-01,
29,sithWM,C,GPL,Stacking,no titlebar buttons,No,Yes,,No,No,Yes,,,
30,spectrwm,C,ISC,Dynamic,no titlebar buttons,No,Yes,Yes,No,No,solid colors,,,
31,steamcompmgr,unknown,BSD-2-clause,Compositing,No,No,Yes,,No,No,No,,2013,
32,StumpWM,Common Lisp,GPL,Tiling,No,No,Yes,No,No,No,No,,,
33,twm,C,MIT,Stacking,Yes,No,Yes,,Yes,No,solid colors,1.2,1987,
34,WMFS,C,BSD,Tiling,Yes,No,Yes,Yes,Yes,Yes,Yes,,,
35,Window Maker,C,GPL,Stacking,No,Yes,Yes,Partial,Yes,Yes,Yes,7,1997,2017-03-11
36,Wingo,Go,WTFPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,,,
37,wmii,C,MIT,Dynamic,Yes,No,Yes,Yes,No,Yes,Yes,,2005-06-01,
38,Xfwm (Xfce),"C, C++ (GTK+)","GPL, LGPL",Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,70,1996,2019-08-12
39,xmonad,Haskell,BSD,Dynamic,Yes,No,Yes,Yes / ?,third-party,Yes,Yes,2,2007-03-06,
40,uwm,C,Similar to BSD license,Stacking,,,,,,,,,1985,
41,Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB),Initial release,Last Stable Release
