,Package,License,Windows,OS X,Linux,Market focus,Type,Structure
0,24SevenOffice,Software as a Service,Yes,Yes,Yes,Low to mid-market,"ERP, CRM, email, collaboration, Project management, Integrated VoIP",Web-based
1,Acumatica,Proprietary and Software as a service,Yes,Yes,Yes,Mid-market,"ERP, CRM, E-Mail, Project Management, Integration, Notification, Employee",Web-based
2,AME Accounting Software,Proprietary,Yes,No,No,Low to mid-market,"Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting",Stand-alone
3,Aplos Software,Proprietary,Yes,Yes,Yes,Low to mid-market nonprofit and faith-based organizations,"Fund Accounting, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, nonprofit organization accounting, online fundraising",Web-based
4,Baan Corporation,Proprietary,Yes,Yes,Yes,Mid to Low-market,ERP,Stand-alone and web-based
5,CGram Enterprise,Proprietary,Yes,Yes,Yes,Low to mid-market,Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger,Stand-alone
6,Cheqbook,Software as a Service,Yes,Yes,Yes,Low to mid-market,"Double-entry bookkeeping system, accounts receivable, accounts payable, Small Business Accounting, Reporting, Business Intelligence, general ledger, Bank Reconciliation, Automatic bank feeds, Journal entries, Check printing, Online payment processing",Web-based
7,CODA,Proprietary,Yes,No,Yes,Mid-market,GL; AP; AR; Analytics; Integration; etc.,Stand-alone/Web Access
8,Comarch Altum,Proprietary,Yes,No,No,Low to mid-market,"ERP; GL; Bookkeeping, Multi-Currency, Multi-Language, Double-entry bookkeeping system, AP; AR; Analytics; Integration; CRM; BI; e-commerce; Workflow; Retail; POS",Stand-alone / Web access
9,Express Accounts from NCH Software,Proprietary,Yes,Yes,No,Low to mid-market,Business Accounting and Invoicing,Stand-alone/Web access
10,FinancialForce.com,Software as a Service,Yes,Yes,Yes,Mid-market to enterprise,"ERP, ordering & billing, accounts receivable, accounts payable, cash management, general ledger, reporting & dashboarding, multi-currency, multi-company, global tax, analytics",Web-based
11,FlexAccount,Proprietary,Yes,No,No,Mid- to high-end market,"ERP, Manufacturing, Intercompany, Multicurrency, Budgeting, Reporting, Analysis",Stand-alone and Web-based
