,Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes,Unnamed: 19
0,Avast,Avast Mac Security,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Free,2012,Czech Republic,,
1,Avira Operations,Avira Free Mac Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Proprietary,Free,2011,Germany,,
2,Bitdefender,Bitdefender Antivirus for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Romania,,
3,Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,GNU GPL,Free,2000,United States,,
4,Comodo Group,Comodo Mac Security,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Proprietary,Free,2012,United States,,
5,Dr. Web,Dr. Web Anti-virus for Mac OS X,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2012,Russia,,
6,ESET,ESET Cyber Security,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Slovakia,,
7,ESET,ESET Cyber Security Pro,Yes,Yes,Yes,Yes,Yes[9],No,No,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2013,Slovakia,,
8,F-Secure,F-Secure Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2008,Finland,Third-party antivirus engine (Bitdefender + F-PROT),
9,Intego,VirusBarrier,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Non-free,1997,United States,,
10,Intego,Mac Internet Security,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2000,United States,,
11,Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2010,Russia,Banned by USG,
12,Quick Heal,Quick Heal Total Security for Mac,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,1995,India,GoDeep.AI engine,
13,Malwarebytes,Malwarebytes for Mac,,,,,,,,,,,,,,Free,2006,United States,4 vulnerabilities found by Project Zero in 2016,
14,Panda Security,Panda Antivirus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2008,Spain,,
15,Sophos,Sophos Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary,Free,2010,United Kingdom,,
16,Symantec,Symantec Endpoint Protection,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2012,United States,,
17,Symantec,Norton Security Standard for Mac,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2012,United States,,
18,Trend Micro,Titanium Internet Security for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Japan,,
19,Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,,
20,Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,,
21,Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes,
