,Product,Vendor,Edition,Last release,Java EEcompatibility [1],Servlet,JSP,HTTP/2,License
0,ColdFusion,Adobe Systems,2016.0.1,2016-05-01,7 partial platform,3.1,2.3,No,"Proprietary, commercial"
1,Enhydra,Lutris,5.1.9,2005-03-23,No,,,No,"Free, GPL"
2,Enterprise Server,Borland,6.7,2007-01,1.4,2.4,2.0,No,"Proprietary, commercial"
3,Geronimo,ASF,3.0.1,2013-05-28,6 full platform,3.0,2.2,No,"Free, Apache"
4,GlassFish,GlassFish Community,5.1.0,2019-01-28,8 full platform,4.0,2.3,No,"Free, CDDL, GPL + classpath exception"
5,iPlanet Web Server,Oracle Corporation,7.0.27,2018-01,Yes[2],2.5,2.1,No,"Proprietary, commercial"
6,JBoss Enterprise Application Platform,Red Hat,7.2,2019-01-22,8 full platform,4.0,2.3,Yes,"Free, LGPL"
7,Jetty,Eclipse Foundation,9.4.20,2019-08-14,7 partial platform[3],3.1,2.3,Yes,"Free, Apache 2.0, EPL"
8,JEUS,TmaxSoft,8,2013-08,7 full platform,3.0,2.2,No,"Proprietary, commercial"
9,JOnAS,OW2 Consortium (formerly ObjectWeb),5.3,2013-10-04,6 Web Profile,3.0,2.2,No,"Free, LGPL"
10,JRun,Adobe Systems,4 updater 7,2007-11-06,1.3,3.1,2.3,No,"Proprietary, commercial"
11,Lucee (Formerly Railo),Lucee Association Switzerland,5.3.2.77,2019-05-27,7 partial platform,3.1,2.3,No,"Free, CDDL, GPL + classpath exception"
12,NetWeaver Application Server,SAP AG,7.4,2013-01-11,5,2.5,2.1,No,"Proprietary, commercial"
13,Oracle Containers for J2EE,Oracle Corporation,10.1.3.5.0,2009-08,1.4,2.4,2.0,No,"Proprietary, commercial"
14,Orion Application Server,IronFlare,2.0.7,2006-03-09,1.3,2.3,1.2,No,"Proprietary, commercial"
15,Payara,Payara,5.193,2019-08-29,8 full platform,4.0,2.3,Yes,"Free, CDDL, GPL + classpath exception"
16,Resin Servlet Container (open source),Caucho Technology,4.0.62,2019-05-23,6 Web Profile[4],3.0,2.2,No,"Free, GPL"
17,Resin Professional Application Server,Caucho Technology,4.0.62,2019-05-23,6 Web Profile,3.0,2.2,No,"Proprietary, commercial"
18,Tomcat,ASF,9.0.24,2019-08-17,8 partial platform,4.0,2.3,Yes,"Free, Apache v2"
19,TomEE,ASF,7.1.1,2019-06-21,6 Web Profile,3.0,2.2,No,"Free, Apache"
20,WebLogic Server,Oracle Corporation (formerly BEA Systems),12.2.1.3,2017-08-30 [5],7 full platform,3.1,2.3,No,"Proprietary, commercial"
21,WebObjects,Apple Inc.,5.4.3,2008-09-15,Partial[6],,,No,"Proprietary, commercial"
22,IBM WebSphere Application Server,IBM,9.0,2016-06-24,8 full platform,3.1,2.3,No,"Proprietary, commercial"
23,WebSphere AS Community Edition,IBM,3.0.0.4,2013-06-21,6 full platform,3.0,2.2,No,"Proprietary, commercial"
24,WildFly (formerly JBoss AS),Red Hat (formerly JBoss),18.0.0.Final[7],2019-10-03,8 full platform,4.0,2.3,Yes,"Free, LGPL"
