,Audio compression format,Algorithm,Sample rate,Bit rate,Bits per sample,Latency,CBR,VBR,Stereo,Multichannel
0,G.711,"companding A-law or μ-law, PCM",8 kHz,64 kbit/s,8 bit (log),125 µs (typical),Yes,No,No,No
1,G.711.0,Lossless compression of G.711,8 kHz,0.2–65.6 kbit/s,8 bit (log),5–40 ms,No,Yes,No,No
2,G.711.1,"MDCT, A-law, μ-law","8, 16 kHz","64, 80, 96 kbit/s",16 bit,11.875 ms,Yes,Yes,No,No
3,G.718,"CELP, MDCT, Lossy","8, 16 kHz","8, 12, 12.65, 16, 24, 32 kbit/s",16 bit,42.875–43.875 ms,Yes,Yes,No,No
4,G.718B,"CELP, MDCT, Lossy, Sinusoidal Coding",32 kHz,"36, 40, 48 kbit/s",16 bit,49.625 ms,Yes,Yes,No,No
5,G.719,"MDCT,[60] Lossy (incorporates elements of Siren Codec and Ericsson technology)",48 kHz,"32–88 kbit/s in 4 kbit/s steps, 88–128 kbit/s in 8 kbit/s steps",16 bit,40 ms,Yes,No,Yes: only in MPEG-4 Part 12 container,Yes: only in MPEG-4 Part 12 container
6,G.721,"ADPCM, Lossy",8 kHz,32 kbit/s,13 bit,,Yes,No,No,No
7,G.722,"sub-band ADPCM, Lossy",16 kHz,"64 kbit/s(comprises 48, 56 or 64 kbit/s audio and 16, 8 or 0 kbit/s auxiliary data)",14 bit,4 ms,Yes,No,No,No
8,G.722.1,"Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec)",16 kHz,"24, 32 kbit/s",16 bit,40 ms,Yes,No,No,No
9,G.722.1C,"Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec)",32 kHz,"24, 32, 48 kbit/s",16 bit,40 ms,Yes,No,No,No
10,G.722.2 (AMR-WB),"multi-rate wideband ACELP, Lossy",16 kHz,"6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s",14 bit,25 ms,Yes,Yes,Yes: only in MPEG-4 Part 12 container,No
11,G.723,"ADPCM, Lossy",8 kHz,"24, 40 kbit/s",13 bit,,Yes,No,No,No
12,G.723.1,"MP-MLQ, ACELP, Lossy",8 kHz,"5.3, 6.3 kbit/s",13 bit,37.5 ms,Yes,No,No,No
13,G.726,"ADPCM, Lossy",8 kHz,"16, 24, 32, 40 kbit/s",13 bit,125 µs,Yes,No,No,No
14,G.727,"ADPCM, Lossy",8 kHz,"16, 24, 32, 40 kbit/s",13 bit,,Yes,Yes,No,No
15,G.728,"low-delay CELP, Lossy",8 kHz,16 kbit/s,13 bit,0.625 ms,Yes,No,No,No
16,G.729,"CS-ACELP, Lossy",8 kHz,8 kbit/s,13 bit,15 ms,Yes,No,No,No
17,G.729D,"CS-ACELP, Lossy",8 kHz,6.4 kbit/s,13 bit,,Yes,No,No,No
18,G.729E,"CS-ACELP, Lossy",8 kHz,11.8 kbit/s,13 bit,15 ms,Yes,No,No,No
19,G.729.1,"CELP, TDBWE, TDAC (MDCT), Lossy","8, 16 kHz","8 kbit/s, 12–32 kbit/s in 2 kbit/s steps",16 bit,48.9375 ms,Yes,Yes,No,No
