,Name,Author,First public release,Stable version,Cost,Software license,Based framework,Written in
0,AIMP,AIMP DevTeam,"August 8, 2006","Windows: v4.60, build 2156 (October 21, 2019; 42 days ago[1]) [±] Android: v2.90, build 858 (August 31, 2019; 3 months ago[2]) [±]",Free,Proprietary,BASS audio library (decoder),Delphi
1,Amarok,Mark Kretschmann,"June 1, 2003","2.9 (March 7, 2018; 20 months ago) [±]",Free,GPLv2,"via Phonon: GStreamer, xine, MPlayer, VLC, DirectShow, QuickTime",C++
2,Aqualung,Tom Szilagyi et al.,"January 1, 2006","0.9beta11 January 30, 2013; 6 years ago",Free,GPLv2 or later,,C
3,aTunes,Alex Aranda et al.,"January 1, 2006","3.1.2 (June 22, 2014; 5 years ago) [±]",Free,GPLv2,,Java
4,Audacious,Audacious Development Team,"October 30, 2005","3.10.1 (December 26, 2018; 11 months ago[3]) [±]",Free,BSD,XMMS based,"C, C++ (GTK+)"
5,Banshee,Aaron Bockover,"February 17, 2005","2.6.2 (February 18, 2014; 5 years ago[4]) [±]",Free,MIT,GStreamer,C#
6,Clementine,Clementine Team,"March 1, 2011","1.3.1 (April 19, 2016; 3 years ago) [±]",Free,GPL,GStreamer,C++ (Qt)
7,cmus,Timo Hirvonen,"January 18, 2005","2.8.0 (January 29, 2019; 10 months ago) [±]",Free,GPL,,C
8,Cog,Vincent Spader,"May 1, 2006","0.07 (December 24, 2007; 11 years ago) [±]",Free,GPL,,Objective-C
9,Exaile,Adam Olsen,"May 24, 2006","4.0.0 (June 6, 2019; 5 months ago) [±]",Free,GPLv2 or later,GStreamer,Python (GTK+)
10,Ecoute,Louka Desroziers & Julien Sagot,September 2008,3.0.8,Free (until version 4),Proprietary,AV Foundation & QuickTime,Objective-C
11,Flash MP3 Player,Reality Software,"March 11, 2008",1.00,Free,Proprietary,,
12,foobar2000,Peter Pawlowski,"November 29, 2002","1.5 (November 29, 2019; 3 days ago[5]) [±]",Free,"Proprietary (core),BSD (SDK)",,C++
13,Guayadeque Music Player,Juan Rios,"March 12, 2009",0.4.5,Free,GPL,GStreamer,"C++ (wxWidgets, wxSqlite)"
14,iTunes,Apple Inc.,"January 9, 2001","12.9.2 (December 5, 2018; 11 months ago) [±]",Free,Proprietary,QuickTime,?
15,JRiver Media Center,"JRiver, Inc.","February 1, 1999","25.0.18 (April 3, 2019; 7 months ago[6]) [±]",Non-free,Proprietary,JRiver code,C++
16,JuK,Scott Wheeler,"February 1, 2003","3.11 (February 4, 2014; 5 years ago[7]) [±]",Free,GPL,,C++
17,MediaMonkey Standard,Ventis Media Inc.,"August 25, 2003","4.1.24 (March 28, 2019; 8 months ago) [±]",Free,Proprietary,,"Delphi, C"
18,MediaMonkey Gold,Ventis Media Inc.,"August 25, 2003","4.1.24 (March 28, 2019; 8 months ago) [±]",Non-free,Proprietary,,"Delphi, C"
19,MediaMonkey Lifetime,Ventis Media Inc.,"August 25, 2003","4.1.24 (March 28, 2019; 8 months ago) [±]",Non-free,Proprietary,,
20,Groove Music,Microsoft,2012,,Free,Proprietary,,
21,MPXPLAY,MPXPLAY,"January 1, 1998","3.05 (February 3, 2019; 9 months ago) [±]",Free,GPL,,C
22,Music on Console,Damian Pietras,"January 1, 2002","2.5.1 (April 24, 2016; 3 years ago) [±]",Free,GPL,,C
23,Music Player Daemon,Warren Dukes,"May 1, 2003","0.21.16 (October 16, 2019; 47 days ago[8]) [±]",Free,GPL,,C
24,MusicBee,Steven Mayall,"December 4, 2008","3.3.7252 (November 14, 2019; 18 days ago) [±]",Free,Proprietary,BASS audio library,Visual Basic .NET
25,musikCube,Casey Langen,"January 1, 2005","1.1 Final[9] (March 23, 2012; 7 years ago) [±]",Free,BSD,,
26,Napster,William Christopher Gorog,"October 1, 2003","4.6.3.4 (August 31, 2010; 9 years ago) [±]",Non-free,Proprietary,,
27,Quod Libet,Quod Libet Team,"November 8, 2004","4.0.2 (January 17, 2018; 22 months ago) [±]",Free,GPL,GStreamer,Python (GTK) PyGTK
28,Rdio,Rdio Inc,[when?],Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (28 October 2013; 6 years ago) iOS: 3.0.3 (27 September 2014; 5 years ago),(subscription required),Proprietary,,
