,Audio player,ReplayGain,Tag mass,Tag flexible[featurenotes 5],Time stretch,Pitch shift,A-B repeat,Bookmark,Auto resume,Shutdown on play complete,Archive ability
0,AIMP,Yes,Yes[featurenotes 6],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,Amarok,Yes,Yes,Yes,No,No,Yes[featurenotes 7],Yes,Yes,No,No
2,Audacious,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
3,Audion,?,?,?,?,?,?,?,?,?,?
4,cmus,Yes,No,No,No,No,No,No,Yes,No,No
5,Cog,?,?,?,?,?,?,?,?,?,?
6,Clementine,Yes,Yes,No,No,No,?,No,No,No,No
7,Exaile,Yes,Yes,Yes[17],No,No,Yes[a],Yes[a],Yes,Yes[a],No
8,foobar2000,Yes,Yes,Yes,Yes[a],Yes[a],Yes[a],Partial[a],Yes,Partial[a],Yes
9,iTunes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
10,JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes[featurenotes 8],Yes,Yes,Yes,No
11,JuK,?,?,?,?,?,?,?,?,?,?
12,MediaMonkey,Yes,Yes,Yes,Partial[a],Partial[a],Partial[a],Partial[a],Yes,Yes,?
13,MPXPLAY,?,?,?,?,?,?,?,?,?,?
14,MusicBee,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
15,Musicmatch Jukebox,?,Partial[featurenotes 9],?,No,No,?,?,?,?,?
16,musikCube,?,?,?,?,?,?,?,?,?,?
17,Quod Libet,Yes,Yes,Yes,Partial[featurenotes 10],Partial[featurenotes 10],No,Yes,Yes,No,No
18,Rhapsody,?,?,?,?,?,?,?,?,?,?
19,Rhythmbox,Yes,Yes,No,No,No,No,No,Yes,No,No
20,Sonique,No,No,?,Yes,Yes,No,No,No,No,?
21,Spotify,No,No,No,No,No,No,No,Yes,No,No
22,Winamp,Yes,Yes,?,No,Yes,?,Yes,?,No,?
23,XMMS,Partial,Yes,?,No,No,No,No,Yes,No,No
24,XMPlay,Yes,No,No,No,No,No,Yes,Yes,No,Yes
25,Zinf,?,?,?,?,?,?,?,?,No,?
26,Audio player,ReplayGain,Tag mass,Tag flexible,Time stretch,Pitch shift,A-B repeat,Bookmark,Auto resume,Shutdown on play complete,Archive ability
