,Audio player,Lossy compression,Lossy compression.1,Lossy compression.2,Lossy compression.3,Lossy compression.4,Lossy compression.5,Lossy compression.6,Lossy compression.7,Lossy compression.8,Lossless compression,Lossless compression.1,Lossless compression.2,Lossless compression.3,Lossless compression.4,Lossless compression.5
0,Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
1,AIMP,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,No,Yes,Yes
2,Amarok[c][18][19],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3,Audacious,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Yes[d],Yes,Yes,Yes,No,Yes,?
4,Audion,Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
5,Banshee,Yes,?,?,Yes,?,?,?,?,?,No,?,?,?,?,?
6,cmus,Yes,Yes[d],No,Yes,Yes,Yes,Yes[d],?,Yes[e],Yes[d],Yes,Yes[d],Yes[d],Yes,?
7,Cog,Yes,No,No,Yes,Yes,Yes,No,?,?,Yes,Yes,Yes,Yes,Yes,?
8,Exaile,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
9,foobar2000,Yes,Yes,No,Yes,Yes,Yes,Partial[a],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Groove Music,Yes,Yes,No,No,,Yes,Yes,,,,Yes,,,,
11,JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,JuK,Yes,No,No,Yes,Yes,No,No,?,?,Yes,Yes,No,Yes,No,?
13,Media Jukebox,Yes[audionotes 1],Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?
14,MediaMonkey,Yes,Yes,No,Yes,Yes,Partial[g],Partial[g],?,No,Yes,Yes,Yes,Partial[a],Partial[a],?
15,MPXPLAY,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Partial[a],Yes,Yes,No,No,Yes,?
16,Music Player Daemon,Yes,Yes[d],Partial[d],Yes,Yes,Yes,Yes[d],Yes[d],Yes,Yes[d],Yes,Yes,Yes[d],Yes,?
17,MusicBee,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,Yes[b],Yes,Yes
18,Musicmatch Jukebox,Yes,Yes,No,No,No,No,No,?,?,No,No,No,No,No,?
19,musikCube,Yes,Partial[g],No,Yes,Partial[g],Partial[g],Partial[g],?,?,Yes,Yes,No,No,Partial[g],?
20,Quod Libet,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
21,Rhapsody,Yes,Yes,Yes,No,No,Yes,No,?,?,No,No,No,No,No,?
22,Rhythmbox,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
23,Sonique,Yes,Yes,No,Yes,Partial[g],Partial[g],No,?,?,No,No,No,No,No,?
24,Spotify[20],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25,Style Jukebox,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes
26,Winamp,Yes,Yes,Yes[a],Yes,Yes[a],Yes,?,?,?,?,Yes,?,?,Yes[a],?
27,XMMS,Yes,Partial[g],Partial[g],Partial[g],Yes,Yes,No,Yes[a],?,Partial[g],Yes,No,Partial[g],Yes,?
28,XMPlay,Yes,Yes[a],Yes[a],Yes,Yes[a],Yes[a],Yes[a],?,Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],?
29,Zinf,Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
30,Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
