,Software,Networkable,Headphone-free sessions,Background noise,"Embed audio (sounds, music, hypnosis)",Volume modulation for embedded audio,Export as sound file,User-created sessions,Pre-made sessions
0,BeeOne SMOD/HMS,Yes (via VST),Yes,Yes (via VST),Yes (via VST),Yes (via VST),Yes (via VST),Yes,No
1,Brain Equalizer,No,Yes,No,Yes (iPod or any sound app),No,No,Yes,No
2,Binaural Beethoven,No,Yes,Yes,Yes (iPod or any sound app),No,No,No,Yes
3,BrainWave Generator,No,Yes,"Yes (white, pink and brown)",Yes,No,Yes (WAV),Yes,Yes
4,Gnaural,Yes,Yes,Yes (pink),Yes,Yes,"Yes (OGG, MP3, WAV)",Yes,Yes
5,BrainIgniter Player,No,Yes,"Yes (white, pink and brown)",Yes,Yes,Yes (MP3),No,Yes
6,Neuro Entrainment,No,Yes,No,No,Yes,No,Yes,Yes
7,Neuro-Programmer 3,No,Yes,"Yes (white, pink and brown)",Yes,Yes,"Yes (OGG, MP3 WAV)",Yes,Yes
8,Mind WorkStation,Yes (with plugins),Yes,"Yes (white, pink and brown)",Yes,Yes,"Yes (OGG, MP3 WAV)",Yes,Yes
9,SBaGen,No,No,Yes (pink),"Yes (WAV, raw audio, OGG, MP3)",No,"Yes (WAV, raw audio)",Yes,Yes
10,Brainwave Studio,No,Yes,Yes (white),Yes,Yes,No,Yes,Yes
11,Discord,No,Yes,"Yes (white, pink and brown)","Yes (WAV, raw audio, OGG, FLAC)",Yes,"Yes (WAV, raw audio, OGG, FLAC)",Yes,Yes
12,Isochronic Tone Generator,No,Yes,No,Yes (iPod or any sound app),Yes,No,Yes (in real time),Yes
13,Lux VST Brainwave Entrainment Instrument,No,Yes,Yes,Yes,Yes,Yes (through DAW),Yes,Yes
14,Neuro Sequencer Pro,No,Yes,Yes,Yes,Yes,"Yes (MP3, M4A, WAV)",Yes,Yes
15,SHARM Studio 5,No,Yes,"Yes (white, pink and brown)","Yes (WAV, OGG, MP3)",Yes,"Yes (WAV, OGG, MP3)",Yes,Yes
