,Analogous concepts and similar terms,Analogous concepts and similar terms.1,Analogous concepts and similar terms.2
0,Term,Cricket,Baseball
1,each team's batting turn,an innings (either singular or plural),"a half-inning or side; innings is a plural term – but most commonly, one batting turn is called either the ""top"" or the ""bottom"" of an inning, depending on which team bats first or second"
2,player who delivers the ball to start play,"a bowler, who bowls","a pitcher, who pitches"
3,player who strikes at the ball,"batsman (The term batter is used in women's cricket.) The batsman facing the bowler is the striker, the other is the non-striker","batter (The term batsman is often used, however, in the phrase ""hit batsman."")"
4,distance between above two players,22 yards (66 feet) or 20.1 metres (approx. 58 ft or 17.7 m between the bowler and batsman at delivery),60 feet 6 inches or 18.4 m (approx. 58 ft or 17.7 m between pitcher and batter at delivery)
5,fielder behind the player batting,"wicket-keeper (or ""keeper"" for short)",catcher
6,batting order,flexible,predetermined
7,player's batting turn,"(batting) innings, knock, dig","plate appearance, at-bat, ups"
8,batting stance,"(a.k.a. guard) bat held vertically, with the handle upwards, and the bottom edge on the ground",bat held cocked in the air behind the head
9,hitting the ball,shot or stroke (The batsman need not run),"hit – also shot, stroke, knock, etc. (The batter must run if the ball is hit into fair territory)"
10,carrying bat after striking,batsman carries bat while running and uses it as an extension of his body,batter drops bat after hitting and while running
11,edge of the field,"boundary: lines, ropes, fences, other objects, no physical marker (Law 19)","fence, wall"
12,scoring over the boundary or fence,"runs are scored if the ball touches or lands over the boundary; six runs (six) if on the full, four runs (four) if on the bounce or along the ground. If a boundary is scored off a wide or no-ball the extra run is still added so it can also be either five or seven runs.","home run if on the fly (and fair) – one, two, three, or four runs depending on the number of runners on base; automatic double (""ground-rule double"") if on the bounce from fair territory – batter and any runners on base may advance only two bases; thus, only a maximum of two runs may be scored"
13,Hits inside the field result in...,"as many runs as the batsmen can complete. Normally between zero and three, but there is theoretically no upper limit in unusual circumstances such as misfields, overthrows or lost balls. If the ball strikes a piece of the fielding team's discarded equipment such as hats, helmets etc., an automatic five run penalty is awarded against the fielding side to the striking batsman.","runners advancing, with possibility of one or more runners reaching home for a run."
14,batsman scoring no runs in an innings,duck. Known as a golden duck if out on the first ball faced or a diamond duck if out without facing a ball and/or out on the first ball of the team's innings. Scoring a duck in both innings of a first class match is known as a pair and the terms king pair or golden pair are used if both dismissals were golden ducks.,"struck out (common even for a skilled batter), ""left stranded"" (which occurs when a batter hits the ball and gets on base, but the team gets all out before he is able to score a run – something which doesn't happen in cricket except in the case of a ""diamond duck"" when a batsman is run out without having faced a ball)"
15,hitting the ball in a specific area,placement,place hitting
16,"hitting the ball high into the air, liable to being caught","skyer (or skier), spooning it up, ""scooping the ball"", ""flier""","fly ball, pop fly, popup, ""skying it"""
17,catching the ball in flight,catch,fly out or catch (see in flight)
18,dismissing a batsman/batter,a wicket,an out
19,dismissal types,"bowled, caught, leg before wicket, run out, stumped, hit wicket—or, very rarely: hit the ball twice, obstructing the field or timed out","tag out, fly out, force out, strike out, interference (similar to obstructing the field in cricket, but more common)"
20,dismissal procedure,"appeal to an umpire – a wicket cannot be given without an appeal from the fielding side, unless the batsman leaves the field on his own (Law 31).",automatic – most outs are called immediately by umpires; some potential outs require an appeal play to be called but this is rare.
21,curving deliveries,"leg break, off break, googly, doosra, leg cutter and off cutter change direction after bouncing. Often these will also drift while in the air. Topspinners dip downwards and bounce higher, arm-ball and flipper fly flatter and skid on. The away swing or outswinger curves away from batter in the air, the in swing or inswinger curves toward batter. Seam deliveries will also sometimes turn on the bounce.","breaking balls curve in the air; the curveball/slider/cut fastball away from the pitching-hand side, the sinker, splitter, and forkball unexpectedly dip downwards (as can a curveball; see 12–6 curveball), the rare screwball bends toward pitching-hand side, as will the increasingly common circle change, and the unpredictable knuckleball which relies on atmosphere and wind can literally move in any direction, and even may corkscrew on its way to the plate"
22,a delivery not in a good hitting zone,wide (and a penalty run can be awarded if the batsman is unable to reach the ball in his normal batting stance),ball
23,fielding miscue,misfield,error
24,central/inner playing arena,"wicket, pitch, deck or strip",infield or diamond
25,sides of the field,"Assuming a right-handed batsman, the ""Off side"" is the side to his right, while the side to his left is called the ""Leg side"" (as that is the side closest to the batsman's legs) or sometimes the ""On side"". Reverse for a left-handed batsman.","""Left field"" is always to the batter's left and ""right field"" is always to the batter's right (when facing the pitcher), regardless of the side of the plate he hits from. The term ""opposite field"" in baseball is equivalent to ""off side"", as it is the side of the baseball field in front of the batter as he faces the pitcher."
26,substitution,"injured players can be replaced for fielding and running, not bowling, batting or keeping wicket except in the case of concussion (Law 2)","players can be replaced in line-up for any reason; once removed they cannot return (except in certain youth leagues such as Little League which allow a ""courtesy runner"" for a pitcher, some recreational leagues and exhibition games, and in special rules such as designated hitter); baseball substitution rule was originally also only in case of injury; unlike cricket, the replacement could also bat"
27,delivery toward the head,"""bouncer"", ""beamer"" or sometimes ""beamball"" – umpire may warn or eject the bowler","""beanball"" – umpire may warn or eject the pitcher"
28,"Words used in both sports, possibly with different meanings","Words used in both sports, possibly with different meanings","Words used in both sports, possibly with different meanings"
29,,,
30,a ball,any legal delivery by the bowler,"a legal delivery not entering the strike zone nor swung at by the batter. If a batter receives four balls during one plate appearance, he is awarded a base on balls or walk."
31,drive,"powerfully hit ball from the face of the bat, usually with the bat positioned vertically or close to vertically","powerfully hit ball, often used to describe when the ball comes off the bat fast and flat ""Line Drive"" (could be a hit, or caught for an out)"
32,infield,"the area of the field less than 30 yards (27 m) from the pitch (basically oval in shape, marked by a restriction line in limited- overs cricket)","the area of the field inside the grass line and immediately near the ""diamond""; the ""diamond"" is the area inside the baselines, which are straight lines either drawn between bases (home plate to first – third to home plate) or imaginary (first to second and second to third); the ""diamond"" is thus a square 90 feet (27 m) on a side but is called such because of how it appears as seen from home plate."
33,inning(s),"an innings is a period of batting, it can refer to that of a whole team, or an individual player",an inning is one period of batting for each team (3 outs per half-inning)
34,line-up,"the ""batting lineup"" means the players who are regarded as strong batsmen. a ""strong or long batting lineup"" might mean 7 or 8 recognised batsmen.","the players playing in a given game, particularly with respect to their batting order"
35,out,"a batsman is ""given out"" by an umpire when he is dismissed in any of several ways. ""outs"" is never used.","batters can be ""out""; when there are three ""outs"" the half-inning is over; the term ""retired"" is also used."
36,outfield,the area of the field more than 30 yards (27 m) from the pitch,the fair-territory area outside the grass line
37,pinch hitter,batsman promoted up the batting order to score runs quickly in a one-day game (deliberately borrowed from the baseball term),substitute for another batter
38,pitch,the prepared area in which where the ball is delivered to the batsman the area on the pitch in which the bowler bounces the ball,the act of throwing the ball toward the batter
39,play and time,"Applies to an entire interval, such as an innings",Applies to a single pitch.
40,pull,"an aggressive shot hit with a horizontal bat towards the legside boundary, typically played to a short delivery","similarly, to hit a pitch towards the side of the field closer to the hitter (left field for a right-handed hitter and vice versa)"
