,Type,Sensor,Class,2003,2003.1,2004,2004.1,2004.2,2004.3,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3
0,Type,Sensor,Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSLR,MF,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z
2,DSLR,FF,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1,K-1,K-1,K-1,K-1,K-1,K-1,K-1,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II
3,DSLR,APS-C,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,,,,,,,
4,DSLR,APS-C,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,,,,,,,,,,,,
5,DSLR,APS-C,Advanced,,,,,,,,,,,,,,,,,,,,,,,,K-7,K-7,K-7,K-7,K-7,K-7,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,,,,,,,,,,,,,,,,,,,,
6,DSLR,APS-C,Advanced,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,K10D,K10D,K10D,K10D,K10D,K10D,K20D,K20D,K20D,K20D,K20D,K20D,K20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP
7,DSLR,APS-C,Midrange,,,,,,,,,,,,K100D,K100D,K100D,K100D,K100D,100DS,100DS,K200D,K200D,K200D,K200D,,,,,,,,,,,,,,K-30,K-30,K-30,K-30,K-30,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70
8,DSLR,APS-C,Entry-level,,,,,*ist DS,*ist DS,*ist DS,*ist DS,*ist DS2,*ist DS2,*ist DS2,*ist DS2,*ist DS2,,,,,,,,,,,,,,,,,K-r,K-r,K-r,K-r,K-r,K-r,K-r,,,,,K-500,K-500,K-500,K-500,K-500,K-500,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,,,,,,,
9,DSLR,APS-C,Entry-level,,,,,,,,*ist DL,*ist DL,*ist DL,DL2,DL2,K110D,K110D,K110D,K110D,,,,,,K-m/K2000,K-m/K2000,K-m/K2000,K-m/K2000,K-m/K2000,K-x,K-x,K-x,K-x,K-x,,,,,,,,,,,,,,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MILC,APS-C,K-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-01,K-01,K-01,K-01,K-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MILC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MILC,"1/1.7""",Q-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7,Q7,Q7,Q7,Q7,Q7,Q7,Q7,Q7,,,,,,,,,,,,,,,,,,
14,MILC,"1/1.7""",Q-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1
15,MILC,"1/2.3""",Q-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,Q,Q,Q,Q,Q10,Q10,Q10,Q10,Q10,Q10,Q10,Q10,Q10,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DSLR,Prototypes,Prototypes,MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007),MZ-D (2000) 645D Prototype (2006) AP 50th Anniv. (2007)
