,Software,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input,Output,OS,License
0,7-Zip,Yes,No,No,No,Yes,"CramFS, DMG, FAT, HFS, MBR, NTFS, ISO, SquashFS, UDF, VHD, WIM[1]",WIM,"Windows, Linux, Classic Mac OS",Free software (GPL)
1,AcetoneISO,Yes,No,Yes,Yes,Yes,"CD, DVD, ISO, BIN, MDF+MDS, IMG, NRG, CUE, TOC, DMG","CD, DVD, ISO, BIN",Linux,Free software (GPL)
2,Acronis True Image,Yes,No,Yes,Yes,Yes,"TIB, VHD","TIB, VHD",Windows,Shareware
3,Alcohol 120%,Yes,No,Yes,Yes,No,"ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDF+MDS, NRG, ISZ","MDF+MDS, ISO",Windows,Trialware
4,Alcohol 52% FE,Yes,No,Yes,No,No,ISO,,Windows,Adware
5,AnyDVD HD,Yes,No,No,No,No,,ISO,Windows,Shareware
6,Archive Manager,No,No,No,No,Yes,ISO,,Unix-like,Free software (GPL)
7,Ashampoo Burning Studio,Yes,No,No,Yes,No,"ISO, BIN+CUE","ISO, BIN+CUE",Windows,Shareware[a]
8,BlindWrite,Yes,No,No,Yes,No,"B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS","B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS",Windows,Shareware
9,Brasero,No,No,No,Yes,No,"ISO, CUE","CD, DVD",Linux,Free software (GPL)
10,Burnatonce,No,No,No,Yes,No,"ISO, CUE, TOC",,Windows,Freeware
11,CDBurnerXP,Yes,No,No,Yes,No,"ISO, MDF+MDS, NRG, BIN+CUE","ISO, MDF+MDS",Windows,Freeware
12,CDemu,Yes,No,Yes,Yes,Yes,"CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, BIN+CUE, TOC, B5T+B5I, B6T+B6I, MDF+MDS, MDX, CIF, C2D, DAA","ISO, TOC",Linux,Free software (GPL v2)
13,genisoimage,Yes,No,No,No,No,,?,"Linux,Unix",Free software (GPL)
14,isoinfo,No,No,No,No,Yes,?,,"Unix, Linux,AmigaWindows, macOS",Free software (GPL)
15,mkisofs,Yes,No,No,No,No,,?,"Unix, Linux,AmigaWindows, macOS",Free software (GPL)
