,Manager,Latest stable release,License / Price (USD),"Adware, Malware & Spyware[1]",CLI,GUI,Web,Linux,Windows,Mac OS X
0,4K Video Downloader,"4.4.7.2307 (May 30, 2018; 18 months ago)",Proprietary / Freemium,No,No,Yes,No,Yes,Yes,Yes
1,BitComet,"1.61 (November 4, 2019; 27 days ago) [±][2]",Proprietary / freeware,Adware from version 0.85 to 0.97;Potentially sensitive information reported to BC Servers,Partial [3],Yes,Yes[citation needed],No,Yes,No
2,DownloadStudio,"10.0.4.0(December 28, 2017; 23 months ago)",Shareware / $24.95,None Known,Yes,Yes,Yes,No,Yes,No
3,DownThemAll!,"4.1.2 (September 26, 2019; 2 months ago) [±][4]",GPL /,None Known,No,Yes,Yes,"Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera"
4,FlashGet,"3.7.0.1195(January 10, 2012; 7 years ago)",Proprietary / Freeware,No,No,Yes,Yes,No,Yes,No
5,Folx,"5.0.13709 (March 28, 2018; 20 months ago) [±][5] 5.0.13493 (May 26, 2016; 3 years ago) [±]",Shareware / $19.95,No,Yes,Yes,Yes,No,No,Yes
6,Free Download Manager,"5.1.38 (build 7312) (January 31, 2019; 10 months ago) [±][6]",Proprietary / Freeware after version 5.0 and newer,No,No,Yes,No,No,Yes,Yes
7,Free Studio,"6.6.35.323(March 23, 2017; 2 years ago[7][8])",Proprietary / Freeware,No,No,Yes,No,Yes,Yes,Yes
8,Freemake Video Downloader,"3.8.0(May 12, 2016; 3 years ago)",Proprietary / Freeware,Offers to install sponsored software upon installation changing default search engine and browsers homepage,No,Yes,No,No,Yes,No
9,GetRight,"6.5 (January 24, 2011; 8 years ago) [±][9]",Proprietary / $49.95 for Pro,No,Yes,Yes,Yes,No,Yes,No
10,Go!Zilla,"5.03(February 1, 2008; 11 years ago[10])",Proprietary / $19.95,None as of Version 5;Aureate adware prior to that,No,Yes,Yes,No,Yes,Yes
11,Internet Download Accelerator,"6.19.1.1641(July 24, 2019; 4 months ago)","Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro",Adware on free version,Yes,Yes,No,No,Yes,No
12,Internet Download Manager,"6.31 Build 3(July 9, 2018; 16 months ago[11])",Proprietary / $24.95 lifetime for 1 PC,None Known,Yes,Yes,No,No,Yes,No
13,JDownloader,2(7 February 2017; 2 years ago),GPL /,"Yes, comes bundled but can install even when not ticking yes",Yes,Yes,Yes,Yes,Yes,Yes
14,JDownloader,0.9.581(19 January 2011; 8 years ago),GPL /,Adware Mobogenie (optional install);Adware browser hijacker Mysearchdial (optional install),No,Yes,Yes,Yes,Yes,Yes
15,JDownloader,0.7.3-3(8 May 2006; 13 years ago),GPLv2 /,No,Yes,No,No,Yes,Yes,Yes
16,KGet,"4.14.38 (November 7, 2017; 2 years ago) [±][12]",GPL /,None Known,Yes,Yes,No,Yes,Part of KDE for Windows,Part of KDE for Mac
17,MiniDM,"2.5.1(June 2, 2010; 9 years ago[13])",Proprietary / Freeware,None Known,No,Yes,No,No,Yes,No
18,MLDonkey,"3.1.6 (January 22, 2017; 2 years ago[14]) [±]",GPL /,None Known,Yes,Yes,Yes,Yes,Yes,No
19,Shareaza,"2.7.10.2 (September 18, 2017; 2 years ago[15]) [±]",GPL /,Original Client:None Known,Yes,Yes,Yes,No,Yes,No
20,Manager,Latest stable release,License / Price (USD),"Adware, Malware & Spyware[1]",CLI,GUI,Web,Linux,Windows,Mac OS X
