,Maker,Model,Number,E-Books,E-Books.1,E-Books.2,E-Books.3,E-Books.4,E-Books.5,E-Books.6,E-Books.7,E-Books.8,E-Books.9,E-Books.10,E-Books.11,E-Books.12,E-Books.13,E-Books.14,E-Books.15,E-Books.16,E-Books.17,E-Books.18,E-Books.19,Images,Images.1,Images.2,Images.3,Images.4,Audio/Video,Audio/Video.1,Audio/Video.2,Audio/Video.3,Audio/Video.4,Audio/Video.5,Audio/Video.6
0,Maker,Model,Number,.azw,.cbr,.cbz,.chm,.djvu,.doc,.docx,.epub,.fb2,.html,.lit,.mobi,.opf,.pdb,.pdf,.pdg,.rtf,.tcr,.tr3,.txt,.bmp,.gif,.jpg,.png,.tiff,.avi,.flv,.m4v,.mov,.mp3,.mpeg1/2/4,.wmv
1,Aluratek,Liber Touch,09,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),No,No,No,No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Yes,Partial (non-DRM only),No
2,Aluratek,Libre Air,11,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),Yes,No,Partial (non-DRM only),No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,No,No,No,No,Yes,No,No
3,Aluratek,Libre Color eBook Reader,10,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),Yes,No,No,No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Yes,Partial (non-DRM only),Partial (non-DRM only)
4,Aluratek,Libre Pro,08,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),No,No,Partial (non-DRM only),No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,No,Unknown,No,No,No,No,Yes,No,No
5,Amazon.com,Kindle 3 Wi-Fi & 3G,12+,Yes,No,Yes,Unknown,No,Yes,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
6,Amazon.com,Kindle DX,12,Yes,No,Unknown,Unknown,No,Unknown,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
7,Amazon.com,Kindle 2,12,Yes,No,No,Unknown,No,Unknown,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Yes,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
8,Amazon.com,Kindle,Unknown,Yes,No,Unknown,Unknown,Unknown,No,Unknown,No,No,Yes,No,Partial (no DRM),No,No,No,No,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
9,Asus,Eee Reader DR900,Unknown,No,No,Yes,No,No,No,Unknown,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
10,Barnes & Noble,Barnes & Noble Nook Color,15+,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
11,Barnes & Noble,Nook,04,No,Unknown,Unknown,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
12,Barnes & Noble,Nook Simple Touch,08,No,Unknown,Unknown,No,No,No,No,Yes,No,Unknown,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
13,Bookeen,Cybook Orizon,08,No,Unknown,Unknown,No,No,No,Unknown,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
14,Bookeen,Cybook Opus,06,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
15,Bookeen,Cybook Gen3,07,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
16,bq,Movistar ebook bq,14,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
17,Condor Technology,eGriver IDEO,18,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
18,Condor Technology Associates,eGriver Touch,08,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
19,EBS Technology,Agebook+6,12,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,Yes,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
20,Ectaco,JetBook Color,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
21,Elonex,Elonex ebook,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
22,Endless ideas,BeBook&One (Hanlin V3 clone),23,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
23,Endless ideas,BeBook&Mini (Hanlin V5 clone),23,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
24,Foxit&Corp.,eSlick,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
25,Hanvon,WISEreader N516,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
26,Hanvon,WISEreader N518 19,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
27,Hanvon,WISEreader N520,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
28,Hanvon,WISEreader N526,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
29,Interead,COOL-ER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
30,iPapyrus Inc.,iPapyrus 6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
31,iRex Technologies,Digital Reader 800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
32,iRex Technologies,Digital Reader 1000,09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
33,iRex Technologies,iLiad,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34,Iriver,Story,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Yes,Unknown,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
35,Iriver,IRiver Story HD,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,No,Yes,Unknown,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
36,italica GmbH,Paperback 1.0,06,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
37,JinKe,Hanlin V2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
38,JinKe,Hanlin V3,19,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
39,JinKe,Hanlin V5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
40,JinKe,Hanlin V6.0,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
41,Kobo,eReader,03,No,Unknown,Unknown,No,No,No,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
42,Kobo,eReader WiFi,09,No,Yes,Yes,No,No,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
43,Kobo,eReader Touch,14,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Partial (raw markup),No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
44,Kogan.com,Kogan eBook Reader,16,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
