,Client,Client.1,Website,Initial Release,Current Stable Version,Mod Based On
0,eDonkey2000,eDonkey2000,None[N 12],"September 6, 2000; 19 years ago",1.4.6 (2006; 13 years ago),-
1,aMule,aMule,[1],September 2003; 16 years ago,"2.3.2 (September 16, 2016; 3 years ago[6]) [±]",-
2,eMule,Official,[2],"May 13, 2002; 17 years ago","0.50a (April 7, 2010; 9 years ago[7]) [±]",-
3,eMule,Osp,[3],"January 29, 2012; 7 years ago","0.23 (April 2, 2012; 7 years ago)",Official 0.50a
4,eMule,AnalyZZUL,[4],"May 13, 2008; 11 years ago","3.0 (February 24, 2009; 10 years ago)",eMule 0.49c ZZUL
5,eMule,beba,[5],"June 3, 2005; 14 years ago","2.72 (July 8, 2013; 6 years ago)",Official 0.50a
6,eMule,DreaMule,[6],2005; 14 years ago,"v3.2 (July 21, 2008; 11 years ago)",-
7,eMule,Magic Angel,[7],"February 21, 2006; 13 years ago","4.0 (February 13, 2011; 8 years ago)",eMule 0.50a MorphXT 12.6
8,eMule,Mephisto,[8],"October 18, 2007; 12 years ago","3.0 (April 10, 2011; 8 years ago)",eMule 0.50a ScarAngel 4.0
9,eMule,MorphXT,[9],"January 23, 2003; 16 years ago","12.7 (November 21, 2012; 7 years ago) [±]",Official 0.50a
10,eMule,NeoMule,[10],"February 22, 2004; 15 years ago","4.50 (March 27, 2013; 6 years ago) [±]",Official 0.49b
11,eMule,ScarAngel,[11],"April 2, 2005; 14 years ago","4.2 (June 22, 2011; 8 years ago)",eMule 0.50a Xtreme 8.1
12,eMule,SharkX,[12],?,"2.0 (February 18, 2011; 8 years ago[8]) [±]",eMule 0.49c AcKroNiC 5.4
13,eMule,Sivka,[13],?,"19b1 (January 22, 2009; 10 years ago[9]) [±]",Official 0.49b
14,eMule,Spike2,[14],?,"1.2 (September 19, 2007; 12 years ago[10]) [±]",Official 0.48a
15,eMule,StulleMule,[15],"April 22, 2005; 14 years ago","7.0 (December 25, 2010; 8 years ago)",eMule 0.50a MorphXT 12.6
16,eMule,Xtreme,[16],2004; 15 years ago,"8.1 (March 4, 2011; 8 years ago[11]) [±]",Official 0.50a
17,eMule,X-Ray,[17],"December 23, 2006; 12 years ago","1.7 (July 18, 2009; 10 years ago)",Official 0.49c
18,eMule,ZZUL,[18],?,"20090222-2320 (February 22, 2009; 10 years ago)",Official 0.49c
19,eMule,ZZUL BastarD,[19],"November 28, 2004; 15 years ago","1.9.10 (November 9, 2009; 10 years ago)",eMule 0.49c ZZUL
20,eMule Plus,eMule Plus,[20],October 2002; 17 years ago,"1.2e (April 18, 2009; 10 years ago[12]) [±]",Old official eMule + own code
21,iMule,iMule,www.imule.i2p[13],2003; 16 years ago,"2.3.3.3 (June 1, 2016) [±]",aMule
22,JMule,JMule,[21],"September 21, 2002; 17 years ago","0.5.8 (January 13, 2010; 9 years ago[14]) [±]",-
23,Jubster,Jubster,None[N 13],?,"3.1.0 (October 30, 2005; 14 years ago) [±]",-
24,LMule,LMule,[22],January 2003; 16 years ago,"1.2.1 (April 27, 2003; 16 years ago) [±]",-
25,Lphant,Lphant,None[N 14],2006; 13 years ago,"3.51 (March 3, 2009; 10 years ago) [±]",-
26,MLDonkey,MLDonkey,[23],"January 23, 2003; 16 years ago","3.1.6 (January 22, 2017; 2 years ago[15]) [±]",-
27,Morpheus,Morpheus,None[N 15],2001; 18 years ago,"5.55.1 (November 15, 2007; 12 years ago) [±]",-
28,Shareaza,Shareaza,[24],2002; 17 years ago,"2.7.10.2 (September 18, 2017; 2 years ago[16]) [±]",-
29,xMule,xMule,[25],June 2003; 16 years ago,"1.13.7 RC1 (September 11, 2006; 13 years ago[17]) [±]",-
30,Client,Client,Website,Initial Release,Current Stable Version,Mod Based On
