,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,NYSK Dataset,English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn.,Filtered and presented in XML format.,10421,"XML, text","Sentiment analysis, topic extraction",2013,[160],"Dermouche, M. et al."
1,The Reuters Corpus Volume 1,Large corpus of Reuters news stories in English.,Fine-grain categorization and topic codes.,810000,Text,"Classification, clustering, summarization",2002,[161],Reuters
2,The Reuters Corpus Volume 2,Large corpus of Reuters news stories in multiple languages.,Fine-grain categorization and topic codes.,487000,Text,"Classification, clustering, summarization",2005,[162],Reuters
3,Thomson Reuters Text Research Collection,Large corpus of news stories.,Details not described.,1800370,Text,"Classification, clustering, summarization",2009,[163],T. Rose et al.
4,Saudi Newspapers Corpus,"31,030 Arabic newspaper articles.",Metadata extracted.,31030,JSON,"Summarization, clustering",2015,[164],M. Alhagri
5,RE3D (Relationship and Entity Extraction Evaluation Dataset),Entity and Relation marked data from various news and government sources. Sponsored by Dstl,"Filtered, categorisation using Baleen types",not known,JSON,"Classification, Entity and Relation recognition",2017,[165],Dstl
6,Examiner Pseudo-News Corpus,"Clickbait, spam, crowd-sourced headlines from 2010 to 2015",Publish date and headlines,3089781,CSV,"Clustering, Events, Sentiment",2017,[166],R. Kulkarni
7,ABC Australia News Corpus,Entire news corpus of ABC Australia from 2003 to 2017,Publish date and headlines,1103664,CSV,"Clustering, Events, Sentiment",2017,[167],R. Kulkarni
8,Worldwide News - Aggregate of 20K Feeds,One week snapshot of all online headlines in 20+ languages,"Publish time, URL and headlines",1398431,CSV,"Clustering, Events, Language Detection",2017,[168],R. Kulkarni
9,Reuters News Wire Headline,11 Years of timestamped events published on the news-wire,"Publish time, Headline Text",16121310,CSV,"NLP, Computational Linguistics, Events",2018,[169],R. Kulkarni
10,The Irish Times The Irish Times IRS,23 Years of Events From Ireland,"Publish time, Headline Text",1425460,CSV,"NLP, Computational Linguistics, Events",2018,[170],R. Kulkarni
11,News Headlines Dataset for Sarcasm Detection,High quality dataset with Sarcastic and Non-sarcastic news headlines.,"Clean, normalized text",26709,JSON,"NLP, Classification, Linguistics",2018,[171],Rishabh Misra
