,Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
0,Akregator,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
1,Amarok,?,?,Yes,Yes,Yes,?,Yes,?,No,?,Yes
2,AOL Explorer,?,?,?,?,?,?,Yes,?,?,Yes,?
3,Avant,?,?,?,?,?,?,Yes,?,?,Yes,?
4,Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,any XML format (via XSL),?,Yes,Yes
5,BlogBridge,?,?,?,?,?,?,?,?,?,?,?
6,Canto,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,Yes
7,Claws Mail,?,No,Yes,Yes,?,?,Yes,?,No,Yes,Yes
8,CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0[38]",No,Yes,Yes
9,Cooliris,?,?,?,?,Yes,Yes,?,?,No,?,?
10,Feed Viewer,?,Yes,Yes,Yes,Yes,Yes,Yes,"CDF, RDF",No,Yes,Yes
11,FeedDemon,Yes,?,?,?,?,?,?,?,Yes,?,?
12,Feedreader,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes
13,Flock,Yes,?,?,?,?,Yes,Yes,?,?,Yes,Yes
14,Gnus,?,Yes,Yes,Yes,?,?,No,Newsgroups,?,Yes,No
15,IBM Lotus Notes,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
16,Internet Explorer,No,Yes,Yes,Yes,Yes,?,Yes,Web Slice,Yes,Yes,Yes
17,iTunes,?,?,?,Yes,Yes,?,Yes,?,No,?,Yes
18,Juice,?,?,?,?,Yes,?,?,?,No,?,?
19,K-Meleon,?,?,?,?,?,?,Yes,?,?,Yes,?
20,Kazehakase,?,?,?,?,?,?,?,"LIRS, HINA-DI",?,Yes,?
21,Liferea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes[39],Yes
22,Mail (OS X),?,?,?,Yes,?,?,Yes,?,No,Yes,Yes
23,Maxthon,?,?,?,?,?,?,Yes,?,Yes,Yes,?
24,MediaMonkey,?,?,?,?,Yes,?,?,?,?,?,?
25,Microsoft Office Outlook,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
26,Miro,?,?,?,?,Yes,Yes,?,?,?,?,?
27,Mozilla Firefox,?,Add-on,Add-on,Add-on,?,Add-on,Add-on,?,No,Add-on,Add-on
28,Mozilla Thunderbird,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,No,Yes,Yes
29,NetNewsWire,Yes,?,?,?,?,?,?,?,No,?,?
30,Netscape Browser,?,?,?,?,?,?,Yes,?,No,Yes,Yes
31,Netscape Navigator 9,?,?,?,?,?,?,Yes,?,No,Yes,Yes
32,NewsAccess,?,?,?,?,?,?,?,?,No,?,?
33,NewsBlur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",Yes,Yes,Yes
34,NewsFire,?,?,?,?,?,?,?,?,?,?,?
35,OmniWeb,?,?,?,?,?,?,Yes,?,?,Yes,?
36,Opera Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RDF, Newsgroup",?,Yes,Yes
37,Pegasus Mail,?,Yes,Yes,Yes,?,?,?,?,?,?,?
38,Protopage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",?,Yes,Yes
39,Pulse,?,?,?,?,?,?,?,?,?,?,?
40,Quiterss,?,?,Yes,Yes,?,?,Yes,?,?,?,Yes
41,Rhythmbox,?,?,?,?,Yes,?,?,?,No,?,Yes
42,RSS Bandit,?,?,?,?,?,?,?,?,No,?,?
43,RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newsgroup,No,Yes,Yes
44,Safari,Yes,?,Yes,Yes,?,?,Yes,?,No,Yes,Yes
45,Sage,?,Yes,Yes,Yes,No,No,Yes,?,?,Yes,Yes
46,SeaMonkey Mail & Newsgroups,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,?,Yes,Yes
47,Songbird,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
48,Shiira,?,?,?,?,?,?,Yes,?,?,Yes,?
49,Sleipnir,?,?,?,?,?,?,Yes,?,No,Yes,?
50,The Bat!,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
51,The Old Reader,Yes,?,?,Yes,Yes,?,Yes,PubSubHubbub,No,Yes,Yes
52,Tiny Tiny RSS,?,?,?,Yes,?,?,Yes,?,No,?,Yes
53,Winamp,?,?,?,?,Yes,?,?,?,?,Yes,Notification only
54,Windows Live Mail,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
55,Zimbra,?,Yes,Yes,Yes,?,?,Yes,?,?,?,?
56,Zune,?,?,?,?,Yes,?,?,?,?,?,?
57,Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other standard,Delta updates,IPv6,Auto updates
