,Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
0,Akregator,Yes,?,?,?,?,?,?
1,Amarok,?,?,?,?,?,?,?
2,AOL Explorer,?,?,?,?,?,?,?
3,Avant,?,?,?,?,?,?,?
4,Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,BlogBridge,?,?,?,?,?,?,?
6,Canto,?,?,?,?,?,?,?
7,Claws Mail,?,?,?,?,?,?,?
8,CommaFeed,?,Yes,?,?,?,Yes,?
9,Cooliris,?,?,?,?,?,?,?
10,Feed Viewer,Yes,Yes,?,No,No,Yes,Sharing
11,FeedDemon,Yes,?,?,?,?,?,?
12,Feedreader,Yes,Yes,?,?,?,Yes,?
13,Flock,?,?,?,?,?,?,?
14,Gnus,Yes,Yes,?,?,?,Yes,?
15,IBM Lotus Notes,?,?,?,?,?,?,?
16,Internet Explorer,?,?,?,?,?,?,?
17,iTunes,?,?,?,?,?,?,?
18,Juice,?,?,?,?,?,?,?
19,K-Meleon,?,?,?,?,?,?,?
20,Kazehakase,?,?,?,?,?,?,?
21,Liferea,Yes,Yes,?,Yes,?,Yes,?
22,Mail (OS X),?,?,?,?,?,?,?
23,Maxthon,?,?,?,?,?,?,?
24,MediaMonkey,?,?,?,?,?,?,?
25,Microsoft Office Outlook,?,?,?,?,?,?,?
26,Mozilla Firefox,?,?,?,?,?,?,?
27,Mozilla Thunderbird,Yes,Yes,?,Yes,?,Yes,?
28,NetNewsWire,Yes,Yes,?,?,?,?,?
29,Netscape Browser,?,?,?,?,?,?,?
30,Netscape Navigator 9,?,?,?,?,?,?,?
31,NewsAccess,?,?,?,?,?,?,?
32,NewsBlur,Yes,Yes,Yes,Yes,?,?,Yes
33,NewsFire,?,?,?,?,?,?,?
34,OmniWeb,?,?,?,?,?,?,?
35,Opera Mail,Yes,Yes,?,Yes,No,Yes,No
36,Pegasus Mail,?,?,?,?,?,?,?
37,Rhythmbox,?,?,?,?,?,?,?
38,RSS Bandit,?,?,?,?,?,?,?
39,RSSOwl,No,Yes,?,Yes,Yes,Yes,?
40,Safari,?,?,?,?,?,?,?
41,Sage,?,?,?,?,?,?,?
42,SeaMonkey Mail & Newsgroups,?,?,?,?,?,?,?
43,Shiira,?,?,?,?,?,?,?
44,Sleipnir,?,?,?,?,?,?,?
45,Songbird,?,?,?,?,?,?,?
46,The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,Yes
47,The Old Reader,Via some mobile apps,Yes,?,?,?,Yes,Sharing
48,Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes
49,Winamp,?,?,?,?,?,?,?
50,Windows Live Mail,?,?,?,?,?,?,?
51,Zimbra,?,?,?,?,?,?,?
52,Zune,?,?,?,?,?,?,?
53,Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
