,Unnamed: 0,Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file /directory names[5],Encryption,Filename Encryption
0,7-Zip,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1,ALZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes[8],No,Unknown,Unknown
2,Archive Manager,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
3,Archive Utility,Yes,Yes,No,Unknown,No,No,Yes,Yes,Unknown,Unknown
4,ARJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown
5,Ark,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
6,B1 Free Archiver,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
7,BetterZip,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
8,bsdtar/libarchive,No[2],Yes,No,Yes,No,No,Yes,Yes,Unknown,Unknown
9,Commander One,Yes,No,Yes,No,No,No,Yes,Yes,Unknown,Yes for 7z
10,CRAX Commander,Yes,Yes,No,No,No,No,Yes,Yes,No,No
11,Disk ARchiver,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
12,Filzip,Yes,Yes,Yes,Unknown,Yes,No,No,Unknown,Unknown,Unknown
13,FreeArc,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
14,GNU tar,No[2],Yes,No,Yes,No,Separate,Yes,Yes,Unknown,Unknown
15,iArchiver,Yes,No,Yes,Yes,No,No,No,Yes,Unknown,Unknown
16,Info-ZIP,Yes,No[11],Yes,Yes[12],Yes,Yes,Yes,Yes[12],Weak,No
17,KGB Archiver,Yes,Not enabled by default,Yes,Unknown,Yes,No,No,Yes,Yes,Unknown
18,PeaZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[9],Yes[10],Yes
19,PKZIP,Yes,Yes,Yes,No,Separate,Separate,No,Yes,Yes,Unknown
20,PowerArchiver,Yes,Yes,Yes,Yes,Yes,Yes,Yes[7],Yes,Yes,Yes
21,StuffIt,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown
22,The Unarchiver,No[1],some formats,Yes,Yes,Yes,Yes,Yes,Yes[1],Yes,Unknown
23,TUGZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unknown
24,WinAce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unknown
25,WinRAR and RAR,Yes,Yes,Yes,Yes,Yes,Yes[3],Yes,Yes[6],Yes,Yes
26,WinZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes[10],Yes,Yes,Yes
27,XAD,No[1],Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
28,Xarchiver,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
29,ZipGenius,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,No,Unknown,Unknown
30,ZPAQ,Yes,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown
31,,Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file /directory names[5],Encryption,Filename Encryption
