,Unnamed: 0,ZIP,TAR,GZ,BZ/BZ2,7z,xz,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ
0,7-Zip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[1],No,No,Yes,No,No,No,Yes,No,Yes,No
1,ALZip,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No
2,TAR,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,Archive Utility,Yes,Yes,Yes,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No[7],No
4,Ark,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
5,B1 Free Archiver,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No[11],No,No,No,Yes,Yes,Yes,No
6,BetterZip,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
7,bsdtar/libarchive,Yes,Yes,Yes[10],Yes[10],Yes,Yes[10],Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No
8,cpio,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,Commander One,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10,CRAX Commander,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No
11,Disk ARchiver,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
12,Filzip,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
13,FreeArc,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No[1],No,No,Yes,No,No,No[12],Yes,No,Yes,No
14,GNU tar[2],No[2],Yes,Yes[2],Yes[2],No[3],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
15,iArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
16,Info-ZIP,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17,KGB Archiver,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No
18,PeaZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
19,PKZIP,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No
20,PowerArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
21,Star[2],No[2],Yes,Yes[2],Yes[2],Yes[2],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
22,StuffIt,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
23,The Unarchiver,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Partial[11],Yes,No,No,Yes,Yes,Yes,Yes,No
24,TUGZip,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No
25,WinAce,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No
26,WinRAR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No
27,WinZip,Yes,Yes,Yes,Yes,Yes,Unknown,Yes[4],Yes,No,No,No,Yes[5],No,No,Yes[5],Yes,No,Yes,No
28,XAD,Yes,Yes,Yes,Yes,No,Unknown,Yes,Yes,Partial,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No
29,Xarchiver,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
30,ZipGenius,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes[10],Yes,No,No,Yes[10],No,No,Yes,Yes,No,Yes,No
31,,ZIP,TAR,GZ,BZ/BZ2,7z,xz,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ
