,Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
0,Conduit,Python,"Linux, FreeBSD",GPL,0.3.17 (2010-01-21),No,,,,,Yes,"Synchronizes files, website, network apps"
1,DirSync Pro,Java,Java SE,GPLv3,1.53 (2018-03-07),Yes,Yes,No,,Yes (creates backup files),Yes (native + via OS),"sym-links, filter, metadata, contents, auto-sync"
2,FreeFileSync,C++,"Windows, OS X, Linux",GPL,10.10 (2019-03-10),Yes (Donation Edition)[2],Yes[3],Yes[3],Yes[3],Yes (versioning + recycler)[3],Yes,"Older version had OpenCandy Adware/malware, but now funded by donations.[4] [5]"
3,iFolder,"C#, Mono","Windows, OS X, Linux, Solaris",GPL,3.8.0.3 (2010-07-19),No,Yes (centralized database),"Yes (files, not folders)",,,,
4,InterPlanetaryFileSystem,Go,"Windows, OS X, Linux",GPL,0.4.15 (2018-05-12),,Yes,,,No (Planned)[6],,
5,luckyBackup,C++,"Windows, OS X, Linux, FreeBSD",GPLv3,0.4.9 (2017-10-17),Yes,,,,,Yes,Uses rsync backend
6,Nextcloud,"PHP, C++, JavaScript[7]","Server: LinuxClients: Windows, OS X, Linux, Android, iOS",AGPLv3,17.0.1 (2019-11-07),Yes,Yes,Yes,No[8],Yes,Yes,Fork of ownCloud and actively maintained Windows Phone App
7,OneSync,C#,Windows,GPL,4.0 (2012-02-19),No,Yes,Yes,,,No,
8,ownCloud community edition,"PHP, C++, JavaScript[9]","Server: Linux, FreeBSDClients: Windows, OS X, Linux, FreeBSD, Android, iOS",AGPLv3 (Server Edition) / proprietary (Enterprise Edition),10.3.1 (12 November 2019; 13 days ago) [±][10],Yes,Yes,Yes,Yes[11],Yes,Yes,"iOS, Android, Blackberry, Win, Mac, Linux Client; external storage support; encryption app; app framework"
9,Pydio Open source home,"Server: PHP, Python, C++ Clients: JS, C#, Swift, Java","Windows, OS X, Linux, Android, iOS",AGPLv3,8.0.2 (2017-12-13),Yes,Yes,Yes,,Yes (Git[12]),Yes,
10,rsync,C in a Unix-Linux shell,"Windows, OS X,[13] Linux,[14][15] BSD",GPL v3,"3.1.3 (January 28, 2018; 21 months ago) [±][16]",Yes,No,No,,No,Yes (via OS),"client & server operation. Multiple comparison criteria (date, check-sum)."
11,Seafile community edition,"C99, Python[17]","Server: Linux, Raspbian, WindowsClients: Linux, OS X, Windows, Android, iOS.[18]",AGPLv3 (Server) + Apache License 2.0 (Client),7.0.2 (7 August 2019; 3 months ago[19]) [±],No,Yes,Yes,Yes,Yes,Yes (via Seafile Client),Android and iOS mobile clients
12,SparkleShare,C#,"Windows, OS X, Linux, Android, iOS",GPL v3 and LGPL,2.0.1 (2017-12-22),Yes,Yes,No,,Yes (Git[20]),,
13,SymmetricDS,Java,Java SE,GPL,3.9.4 (2018-02-16),Yes,Yes,Yes,,No,Yes,plug-in APIs for customization
14,Synchronizer (krusader),,"Windows, OS X, Linux",GPL v2,2.6.0 (2017-04-12),No,Yes,No,,No,No,Synchronizer no longer in active development
15,Syncthing,Go,"Windows, OS X, Linux, Android, BSD, Solaris",MPL v2,1.0.0 (2019-01-01),Yes,Yes,Yes,Yes,Yes,Yes,Distributed peer-to-peer sync
16,Synkron,C++,"Windows, OS X, Linux",GPL v2,1.6.2 (2011-01-25){[21]},Yes,Yes,No,Yes,Yes,Yes,no longer in active development
17,Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
