,Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
0,7-Zip,Igor Pavlov,1999-07-19,2019-02-21,Free,Yes,GNU LGPLv2.1+ with unRAR restriction / LZMA SDK in the public domain,Yes,Yes,Yes,C++
1,AccuHash,Irnis Haliullin,?,2008-11-06 (2.0.18),$19.95,No,proprietary,No,No,Yes,?
2,BeaverSFV,Karl-Johan Sjögren,2008-09-14,1.2,Free,No,freeware,No,No,Yes,.NET
3,CDCheck,Mitja Perko,2003,2008-04-10 (3.1.14.0),various,No,proprietary,No,No,Yes,VCL
4,Checksum Compare,Sanktu Aire,2012,2016-02-10 (v1.42),Free,No,freeware,No,No,Yes,Qt
5,Checksums,Acera AS,2015-05-12,2015-12-01 (1.0.2),Free,No,freeware,No,No,Yes,C++
6,cfv,Matthew Mueller,2000-06-22,2009-06-07 (1.18.3),Free,Yes,GPL,Yes,Yes,Yes,Python
7,CHK,Ilya Muravyov,2010,2019-09-20 (v3.21),Free,No,freeware,No,No,Yes,VCL
8,cksum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,?,C
9,CyoHash,Graham Bull,2009-09-01,2019-10-04 (2.4.0),Free,Yes,BSD,No,No,Yes,C++
10,Data Digester,Leisenfels,2013-03-14,2015-04-15 (1.6.15),22€ to 69€,No,proprietary,Yes,Yes,Yes,Java
11,DeepDigest,Nick Stone,2012-03-24,2014-06-16 (1.3.27),Free,Yes,GPL,Yes,?,?,Qt
12,Double Commander,Alexander Koblov and others,2007,2019-02-16 (0.9.1),Free,Yes,GPL,Yes,Yes,Yes,Object Pascal (Free Pascal/Lazarus)
13,DySFV,Johan Sonesson,2007,2013-04-23 (1.4.0.0),Free,Yes,GPL,No,No,Yes,.NET
14,ExactFile,Brandon Staggs,2009,2009-02-23 (1.0.0.15),Free,No,freeware,No,No,Yes,VCL
15,eXpress CheckSum Calculator,Irnis Haliullin,2002,2002-12-27 (1.0),Free,No,freeware,No,No,Yes,?
16,FastSum,Kirill Zinov,2003,1.7.0.403 GUI/1.9.0.149 CLI,various,No,freeware/shareware,No,No,Yes,?
17,FCIV,Microsoft,?,2004-05-17,Free,No,freeware,No,No,Yes,?
18,Febooti Hash & CRC,Febooti Software,2006,2015-09-25 (v3.7),Free,No,freeware,No,No,Yes,?
19,FileVerifier++,Tom Bramer,2006,2010-05-22 (0.6.3.5830),Free,Yes,GPL,No,No,Yes,?
20,FlashSFV,Charles DeWeese,2007,2007-07-22 (2.6),Free,No,freeware/donationware,No,No,Yes,?
21,FSUM,SlavaSoft,?,2007-03-03 (2.52),Free,No,freeware,No,No,Yes,?
22,Fsum Frontend,Thierry Micholt,2007,2008-05-27 (1.5.5.1),Free,Yes,GPL,?,?,Yes,?
23,PowerShell (via Get-FileHash),Microsoft,2012-09-04(3.0),2018-01-10(6.0),Free,Yes; since v6.0,MIT License,Yes,Yes,Yes,".NET Core, .NET Framework"
24,GtkHash[1],Tristan Heaven[2],2007-06-29(0.1.0),2018-11-27(1.2 ),Free,Yes,GPL,Yes,?,No,GTK
25,HashCalc,SlavaSoft,?,2007-03-03 (2.02),Free,No,freeware,No,No,Yes,?
26,"HashCheck Shell Extension: Gurnec version, SDL version","Kai Liu, various, gurnec (2.2.2-2.4.0), Software Development Laboratories (3.0-3.1)",2008-11-29,2016-09-07 (2.4.0),Free,Yes,BSD,No,No,Yes,C
27,HashForm,Igor Gresovnik,2010,? (1.6),Free,No,freeware,Yes,?,Yes,.NET
28,HashShell,Igor Gresovnik,?,2016-06-08 (1.6),Free,No,freeware,Yes,?,Yes,.NET
29,ilSFV,Jud White,2009-10-26,2011-08-16 (1.10),Free,Yes,freeware,No,No,Yes,.NET 3.5
30,jdigest,gdassieu,2009-09-10,2011-06-05 (0.3.0),Free,Yes,GPL,Yes,Yes,Yes,Java
31,jHashCalc,Death Master,2007-10-01,2008-10-18 (1.2),Free,Yes,GPL,?,?,?,Java
32,Jacksum,Johann N. Löfflmann,2002-07-07,2006-07-30 (1.7.0),Free,Yes,GPL,Yes,Yes,Yes,Java
33,MD5 File Hasher,Digital-Tronic,2012,20150818 (1.5.0.1),Free,No,freeware/shareware,No,No,Yes,?
34,MD5 & SHA Checksum Utility,Raymond Lin,2013-06-03,2.1,various,No,freeware/shareware,No,No,Yes,.NET
35,md5deep (and HashDeep),Jesse Kornblum,2003,2014-01-29 (4.4),Free,Yes,public domain,Yes,Yes,Yes,C++
36,md5sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes[Note 1],Yes,?
37,MD5summer,Luke Pascoe,?,2006-04-05 (1.2.0.11),Free,Yes,GPL / postcards,No,No,Yes,(Delphi 7)
38,MD5 Win Verifier,Serafino Sorleti,2014-03-06,2014-06-19 (1.1.0.5),Free,No,freeware,No,No,Yes,.NET
39,PeaZip,Giorgio Tani,2006-09-16,2019-12-01 (7.0.0),Free,Yes,LGPL,Yes,No,Yes,Free Pascal
40,QuickSFV,Mercedes,1999-11-22,2008-03-13 (2.36),Free,No,freeware,Yes,No,Yes,?
41,RapidCRC,?,2004,2005-02-05 (0.6.1),Free,Yes,GPL,No,No,Yes,?
42,RekSFV,"TryAndError, Inc.",2006,2019-02-23 (v1.8.1),Free,No,freeware,No,No,Yes,VCL
43,RHash,Aleksey (Akademgorodok),?,2019-02-09 (v1.3.8),Free,Yes,freeware,Yes,No,Yes,C
44,SafeFileManager,Mindbytez Software,2012-11,2018-08-27 (v1.2),Free,No,freeware,Yes,No,Yes,Java
45,Sigcheck,Mark Russinovich (Sysinternals - Microsoft),?,2016-07-29 (v2.53),Free,No,freeware / Licensing FAQ,No,No,Yes,?
46,SFV Checker,Traction Software,?,2018-08-13 (2.04),various,No,proprietary,No,No,Yes,?
47,sha1sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,Yes,?
48,sha3sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,Yes,Perl
49,SuperSFV,Thomas Dixon,?,1.2,Free,Yes,GPL,No,Yes,No,?
50,TeraCopy,Code Sector,2007,2017-02-23 (v3.0),various,No,freeware/shareware,No,Yes,Yes,"Swift, Delphi"
