,Unnamed: 0,Multiple store fronts,Affiliates,API (remote management functions),Minimum orders,Multiple vendor support,Out-of-the-box shopping cart
0,Apache OFBiz,Yes,Yes,Yes,Yes,No,Yes
1,Batavi,,No,No,Yes,Yes,Yes
2,Bigcommerce,No,3rd party module,Yes,Yes,Yes,Yes
3,Drupal Commerce,Yes,Yes,Yes,Yes,Yes,Yes
4,KonaKart,,No,Yes,Yes,Yes,Yes
5,Magento,Yes,3rd party module,Yes,Yes,Yes,Yes
6,nopCommerce,Yes,Yes,Yes,Yes,Yes,Yes
7,osCommerce,,No,No,Yes,No,Yes
8,pimcore,Yes,Yes,Yes,Yes,Yes,No
9,PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes
10,Sana Commerce,Yes,Yes,Yes,Yes,Yes,Yes
11,Shopify,No,Yes,Yes,Yes,Yes,Yes
12,SupaDupa,No,No,No,No,No,Yes
13,WooCommerce,No,Yes,Yes,No,Yes,No
14,Zen Cart,free add-on,3rd party module,No,"free add-on, low order fee std.",No,Yes
15,,Multiple store fronts,Affiliates,API (remote management functions),Minimum orders,Multiple vendor support,Out-of-the-box shopping cart
