,Unnamed: 0,Amazon FPS,Checkout by Amazon,Google Checkout,PayPal Express
0,Apache OFBiz,No,Yes,Yes,Yes
1,Batavi,No,?,No,No
2,Bigcommerce,No,No,No,Yes
3,Drupal Commerce,Yes,?,Yes,Yes
4,Magento,Yes,free add-on,Yes,Yes
5,nopCommerce,Yes,Yes,Yes,Yes
6,osCommerce,No,?,No,Yes
7,pimcore,No,No,No,No
8,PrestaShop,Yes,Yes,Yes,Yes
9,Sana Commerce,No,No,No,Yes
10,Shopify,No,?,Yes,Yes
11,WooCommerce,No,Yes,Yes,Yes
12,Zen Cart,No,free add-on [36],free add-on,Yes
13,,Amazon FPS,Checkout by Amazon,Google Checkout,PayPal Express
