,Unnamed: 0,Australia Post,Canada Post,DHL,FedEx,OnTrac,United States Postal Service,UPS,Purolator
0,Apache OFBiz,No,No,Yes,Yes,No,Yes,Yes,
1,Bigcommerce,Yes,Yes,No,Yes,No,Yes,Yes,No
2,KonaKart,No,No,No,Yes,No,Yes,Yes,
3,LemonStand,Yes,Yes,No,Yes,Yes,No,Yes,Yes
4,Magento,No,Yes,Yes,Yes,No,Yes,Yes,Yes
5,nopCommerce,Yes,Yes,No,Yes,No,Yes,Yes,No
6,osCommerce,No,No,No,No,No,No,No,
7,PrestaShop,Yes,Yes,No,Yes,No,Yes,Yes,Yes
8,Sana Commerce,No,No,Yes,Yes,No,Yes,No,
9,Shopify,No,free add-on,No,No,No,Yes,Yes,
10,WooCommerce,No,Yes,No,No,No,Yes,No,No
11,Zen Cart,free add-on,free add-on,free add-on[37],free add-on,Yes,free add-on,Yes,Yes
12,,Australia Post,Canada Post,DHL,FedEx,OnTrac,United States Postal Service,UPS,Purolator
