,Unnamed: 0,Australia Post,Canada Post,DHL,FedEx,United States Postal Service,UPS
0,Apache OFBiz,No,No,Yes,Yes,Yes,Yes
1,Batavi,No,No,No,No,No,No
2,Bigcommerce,Yes,Yes,No,Yes,Yes,Yes
3,KonaKart,No,No,No,Yes,Yes,Yes
4,Magento,No,No,Yes,Yes,Yes,Yes
5,nopCommerce,No,No,No,Yes,Yes,Yes
6,osCommerce,No,No,No,No,No,No
7,PrestaShop,via webservice,No,No,Yes,Yes,Yes
8,Sana Commerce,No,No,No,Yes,No,Yes
9,Shopify,No,No,No,No,No,No
10,WooCommerce,Yes,Yes,No,No,Yes,No
11,Zen Cart,No,No,free add-on (Ty),free add-on (Ty),free add-on (Ty),free add-on (Ty)
12,,Australia Post,Canada Post,DHL,FedEx,United States Postal Service,UPS
