,Unnamed: 0,Product import-export,Statistics,Stock control,WYSIWYG editor
0,Apache OFBiz,Yes,Yes,Yes,Yes
1,Batavi,Yes,Yes,Yes,Yes
2,Bigcommerce,Yes,Yes,Yes,Yes
3,Drupal Commerce,Yes,Yes,Yes,Yes
4,KonaKart,Yes,Yes,Yes,Yes
5,LemonStand,Yes,Yes,Yes,Yes
6,Magento,Yes,Yes,Yes,Yes
7,nopCommerce,Yes,Yes,Yes,Yes
8,osCommerce,free add-on,Yes,Yes,free add-on
9,pimcore,Yes,Yes,Yes,Yes
10,PrestaShop,Yes,Yes,Yes,Yes
11,Sana Commerce,Yes,Yes,Yes,Yes
12,Shopify,Yes,Yes,Yes,No
13,SupaDupa,Yes,Yes,Yes,No
14,WooCommerce,Yes,Yes,Yes,Yes
15,Zen Cart,free add-on,Yes,Yes,free add-on
16,,Product import-export,Statistics,Stock control,WYSIWYG editor
