,Unnamed: 0,HTML catalog,Meta tagging,RSS feeds,SEO URLs,"Site map, XML",GoodRelations RDFa
0,Apache OFBiz,Yes,Yes,No,Yes,Yes,No
1,Batavi,Yes,Yes,No,Yes,No,No
2,Bigcommerce,Yes,Yes,Yes,Yes,Yes,No
3,Drupal Commerce,Yes,Yes,Yes,Yes,Yes,Yes
4,KonaKart,Yes,Yes,Yes,Yes,No,No
5,LemonStand,?,?,?,?,?,?
6,Magento,Yes,Yes,Yes,Yes[34],Yes,No
7,nopCommerce,Yes,Yes,Yes,Yes,Yes,No
8,osCommerce,No,No,free add-on,Yes,free add-on,Yes
9,pimcore,Yes,Yes,Yes,Yes,Yes,Yes
10,PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes
11,Sana Commerce,Yes,Yes,No,Yes,Yes,No
12,Shopify,Yes,Yes,Yes,Yes,Yes,Yes - added manually
13,SupaDupa,Yes,Yes,No,Yes,Yes,No
14,WooCommerce,Yes,Yes,Yes,Yes,Yes,Yes
15,Zen Cart,"free add-on, printable price list",Yes,free add-on[35],free add-on,free add-on,No
16,,HTML catalog,Meta tagging,RSS feeds,SEO URLs,"Site map, XML",GoodRelations RDFa
