,Unnamed: 0,Maximum file size,Partial file loading,Disk sector editing,Bit editing,Text editor,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Data inspector
0,beye,8 PiB,Yes,No,Yes,No,Yes,"ANSI, EBCDIC, ASCII, Macintosh",Yes,,"AVR, Java, x86, i386, x86-64, ARM/XScale, PowerPC, PPC64",,,Yes,,
1,bvi,Unlimited[citation needed],Yes,,Yes,Yes,Yes,"ANSI, ASCII",,No,No,,Yes and replace,,,
2,Emacs,Limited by RAM,,No,No,Yes,Yes,,,No,No,,,,Yes,No
3,FlexHex,Unlimited[citation needed],Yes,Yes,Yes,No,Yes,"ANSI, OEM, UTF-16",Yes,Yes,No,Yes,No,Yes,,Yes
4,Frhed,Limited by RAM,Yes,No(read only),Yes,No,Yes,"ANSI, OEM",Yes,Yes,No,Yes,No,Yes,,
5,Hiew,Unlimited[citation needed],Yes,WinNT only,Yes,Yes,Yes,"ASCII,OEM, Unicode,Custom",Yes,Yes,"x86, x86-64, MMX, SSE 4.2, 3DNow! - all assembler, ARM",,Yes,Yes,Yes,
6,HxD,Unlimited[2][citation needed],Yes,Windows 9x/NT and up,Yes,No,Yes,"ANSI, ASCII, OEM, EBCDIC, Macintosh",Yes,No,Yes,Yes,Yes,Yes,,Yes
7,VEDIT,"Standard, 2 GiB, Pro 64, unlimited[citation needed]",Yes,DOS version only,Yes,Yes,Yes,"ANSI, OEM, EBCDIC, ASCII, custom",,No,No,Yes,Yes,Yes,Yes,
8,UltraEdit,>4 GiB,Yes,No,No,Yes,Yes,"ANSI, OEM, EBCDIC, ASCII, Mac, Unix, UTF-8",Yes,Yes,No,Yes,Yes,Yes,,
9,WinHex,Unlimited[citation needed],Yes,Yes,Yes,External: notepad,Yes,"Partial support of these formats: ANSI, UNICODE, OEM, UTF-8/UTF-16, EBCDIC, ASCII",Yes,Yes,Only x86 Intel opcodes,Yes,Yes and replace,,Yes[3],Yes
10,vim,Limited by RAM,Yes[4],Partial[5],Yes[6],Yes,Yes,"ASCII, ISO-8859, DOS (OEM), UTF-8, UTF-16, partial EBCDIC (compilation required), unicode",Yes,Plug-in[7],external; libraries,Yes[8],Plug-in[9],Plug-in[10],Yes,No
11,,Maximum file size,Partial file loading,Disk sector editing,Bit editing,Text editor,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Data inspector
