,Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system.1,Operating system.2,Operating system.3,Operating system.4,Operating system.5,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client.1,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Screenshot protection,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Client.2
0,Client,Developer,First public release,Monthly active users,Registration requirement,License,Windows,macOS,Linux,Web,Android,iOS,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Screenshot protection,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Client
1,Delta Chat,,,,Email,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Delta Chat,No,No,Yes,-,-,-,-,No,-,Yes,No,No,Yes (mail),Yes (mail),
2,Discord,Discord Inc.,"March 6, 2015; 4 years ago",250 million (2019)[2],Email,Proprietary Freeware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Discord,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Discord
3,eBuddy,Paulo Taylor,"March 9, 2003; 16 years ago",,Phone number,Proprietary Freeware,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eBuddy,Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,Yes,No,No,No,No,eBuddy
4,Facebook Messenger,"Facebook, Inc.","August 9, 2011; 8 years ago",1300 million (2019)[3],Facebook account / Phone number,Proprietary Freeware,Yes,No,No,Yes,Yes,Yes,Optional,No,Yes,Yes,Facebook Messenger,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Facebook Messenger
5,FireChat,Open Garden,March 2014; 5 years ago,,Email,Proprietary Freeware,No,No,No,No,Yes,Yes,Optional,Yes,Yes,Yes,FireChat,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Optional,Yes,Yes,FireChat
6,Gadu-Gadu,Łukasz Foltyn / GG Network S.A.,"August 15, 2000; 19 years ago",,,Proprietary Freeware,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Gadu-Gadu,Yes,,,,,No,,,,,No,No,No,,Gadu-Gadu
7,Gajim,Yann Le Boulanger,"May 21, 2004; 15 years ago",,,GPL,Yes,No,Yes,No,No,No,Optional,Plug-in,Yes,No,Gajim,Yes,Yes,,Yes,,Yes,,No,,Yes,Yes,No,Yes,Yes,Gajim
8,ICQ,Mail.Ru,November 1996; 23 years ago,,Phone number,Apache license,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,ICQ,Yes,Yes,,,,Yes,,,,Yes,Yes,No,,,ICQ
9,Jami,Savoir-faire Linux Inc.,2014; 5 years ago,,,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes[4],No groupchat,Yes,Yes,Jami,Yes,Yes,No,No,Partial,No,No,No,No,Yes,No,Yes,,,Jami
10,Jitsi,Emil Ivov,2003; 16 years ago,,,LGPL,Yes,Yes,Yes,No,No,No,Optional,,Yes,Yes,Jitsi,Yes,Yes,,,,Yes,,No,No,,Yes,No,Yes,Yes,Jitsi
11,Kadu,Kadu Team,August 2001; 18 years ago,,,GPLv2,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Kadu,Yes,No,,,,Yes,,,,Yes,Yes,No,,,Kadu
12,KakaoTalk,Kakao Corp.,"March 18, 2010; 9 years ago",49 million (2018)[5],,Proprietary Freeware,Yes,Yes,No,No,Yes,Yes,Optional,Optional,Yes,,KakaoTalk,,,,,,No,,,,,,No,No,No,KakaoTalk
13,Kik Messenger,Medialab,October 2010; 9 years ago,15 million (2017)[6],Email,Proprietary Freemium adware,No,No,No,No,Yes,Yes,No,No,Yes,,Kik Messenger,,,,,,Yes,,,,Yes,,No,No,No,Kik Messenger
