,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4],Element selectors[spec 4]
1,CSS2,*,Universal,7.0,12,1.0,85,Yes,1.0,,,
2,CSS2,E,Element,4.0,12,1.0,85,Yes,1.0,,,
3,CSS2,E.class,Class,7.0,12,1.0,85,Yes,1.0,,,
4,CSS2,E#id,ID,4.0,12,1.0,85,Yes,1.0,,,
5,selectors-3,ns|E,Namespaced,9.0,12,1.0,Yes,Yes,1.0,,,
6,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors,Relationship selectors
7,CSS2,E F,Descendant,4.0,12,1.0,85,Yes,1.0,,,
8,CSS2,E > F,Child,7.0,12,1.0,85,Yes,1.0,,,
9,CSS2,E + F,Direct adjacent,7.0,12,1.0,85,Yes,1.0,,,
10,selectors-3,E ~ F,Indirect adjacent,7.0,12,1.7,412,3.3.2,2.0,,,
11,selectors-4,E /for/ F,Reference combinators,No,No,No,No,No,No,,,
12,selectors-4,E! > F,Subject,No,No,No[g 4],No,No,No,,,
13,selectors-4,F || E,Column relation,No,No,No,No,No,No,,,
14,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors,Attribute selectors
15,CSS2,E[attr],Has,7.0,12,1.0,85,Yes,1.0,,,
16,CSS2,"E[attr=""value""]",Equals,7.0,12,1.0,Yes,Yes,1.0,,,
17,CSS2,"E[attr~=""value""]",Contains (space-separated),7.0,12,1.0,Yes,Yes,1.0,,,
18,CSS2,"E[attr|=""value""]",Contains (hyphen-separated),7.0,12,1.0,Yes,Yes,1.0,,,
19,selectors-3,"E[attr^=""value""]",Begins with,7.0,12,1.0,Yes,3.4,1.0,,,
20,selectors-3,"E[attr$=""value""]",Ends with,7.0,12,1.0,Yes,3.4,2.0,,,
21,selectors-3,"E[attr*=""value""]",Contains substring,7.0,12,1.0,Yes,3.4,2.0,,,
22,selectors-3,E[ns|attr],Namespaced,7.0,12,1.0,Yes,3.4,2.0,,,
23,selectors-4,"E[foo=""bar"" i]",Case-sensitivity,No,No,No,No,No,No,,,
24,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes,Pseudo-classes
25,CSS2,E:link,Unvisited hyperlink,3.0,12,1.0,85,Yes,1.0,,,
26,CSS2,E:visited,Visited hyperlink,3.0,12,1.0,85,Yes,1.0,,,
27,CSS2,E:active,Active,8.0,1.0,12,85,Yes,1.0,,,
28,CSS2,E:hover,Mouseover,7.0,12,1.0,419.3,Yes,1.0,,,
29,CSS2,E:focus,Focused,8.0,12,1.0,Yes,Yes,1.0,,,
30,CSS2,E:first-child,First child,7.0,12,1.0,85,Yes,1.0,,,
31,CSS2,E:lang(),Language,8.0,12,1.2,525,3.4,1.0,,,
32,CSS2,@page:first,First page,8.0,12,No[g 5],Yes[w 5],No,1.0,,,
33,CSS2,@page:left,Left page,8.0,12,No[g 5],Yes[w 5],No,1.0,,,
34,CSS2,@page:right,Right page,8.0,12,No[g 5],Yes[w 5],No,1.0,,,
35,selectors-3,E:root,Root,9.0,12,1.0,85,3.4,2.1,,,
36,selectors-3,E:not(),Negation,9.0,12,1.0,85,3.4,2.1,,,
37,selectors-3,E:empty,Empty,9.0,12,1.8,412,3.4,2.1,,,
38,selectors-3,E:first-of-type,First child of type,9.0,12,1.9.1,525,3.4,2.1,,,
39,selectors-3,E:last-child,Last child,9.0,12,1.0,525,3.4,2.1,,,
40,selectors-3,E:last-of-type,Last child of type,9.0,12,1.9.1,525,3.4,2.1,,,
41,selectors-3,E:only-child,Only child,9.0,12,1.8,525,3.4,2.1,,,
42,selectors-3,E:only-of-type,Only child of type,9.0,12,1.9.1,525,3.4,2.1,,,
43,selectors-3,E:nth-child,Nth child,9.0,12,1.9.1,525,3.4,2.1,,,
44,selectors-3,E:nth-last-child,Nth last child,9.0,12,1.9.1,525,3.4,2.1,,,
45,selectors-3,E:nth-of-type,Nth child of type,9.0,12,1.9.1,525,3.4,2.1,,,
46,selectors-3,E:nth-last-of-type,Nth last child of type,9.0,12,1.9.1,525,3.4,2.1,,,
47,selectors-3,E:target,Target,9.0,12,1.3,525,3.4,2.5,,,
48,selectors-3,E:enabled,Enabled state,9.0,12,1.8,525,3.4,2.0,,,
49,selectors-3,E:disabled,Disabled state,9.0,12,1.8,525,3.4,2.0,,,
50,selectors-3,E:checked,Checked state,9.0,12,1.0,525,3.4,2.0,,,
51,selectors-4,E:indeterminate,Indeterminate state,9.0,12,1.9.2,522,No,No,,,
52,selectors-4,E:default,Default,No,No,1.9,Yes[w 6],4.3,2.0,,,
53,selectors-4,E:valid,Valid,10.0[t 5],12,1.8,Yes[w 7],No,2.0,,,
