,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,Unnamed: 9
0,Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],Numbers[spec 11],
1,CSS2,<number>,A floating-point number,3.0,12,1.0,85,Yes,1.0,
2,CSS2,<length>,<number> followed by units,3.0,12,1.0,85,Yes,1.0,
3,CSS2,<percentage>,<number> followed by %,3.0,12,1.0,85,Yes,1.0,
4,CSS2,<integer>,An integer,3.0,12,1.0,85,Yes,1.0,
5,css-values-3,<angle>,<number> angle-unit,9.0[t 1],12,Yes,Partial,Partial,Partial,
6,css-values-3,<time>,<number> time-unit,9.0[t 1],12,2.0[g 50],Yes,Yes,2.5,
7,css-values-3,<frequency>,<number> frequency-unit,No,No,No,Yes,Yes,No,
8,css-values-3,<fraction>,Remaining space,No,No,No,No,No,No,
9,Strings,Strings,Strings,Strings,Strings,Strings,Strings,Strings,Strings,
10,CSS2,<string>,String,3.0,12,1.0,85,Yes,1.0,
11,CSS2,\code,Unicode escapes,6.0,12,1.0,85,Yes,1.0,
12,Functions,Functions,Functions,Functions,Functions,Functions,Functions,Functions,Functions,
13,CSS2,rect(),A rectangle,8.0,12,1.0,85,Yes,1.0,
14,CSS2,url(),Uniform Resource Identifier,3.0,12,1.0,85,Yes,1.0,
15,CSS2,counter(),,8.0,12,1.0,85,Yes,1.0,
16,CSS2,attr(),Attribute identifier,8.0,12,1.0,85,Yes,1.0,
17,css-values-3,calc(),,9.0[t 1],12,16.0[g 61],Yes[w 36],No,No,
18,css-values-3,toggle(),Toggling between values,No,No,No[g 62],No,No,No,
19,css-grid-1 ?,repeat(),Repeat n times,No,No,32.0[g 63],No,No,No,
20,Colors,Colors,Colors,Colors,Colors,Colors,Colors,Colors,Colors,
21,CSS2,HTML4 color keywords,16 predefined web colors,3.0,12,1.0,85,Yes,1.0,
22,CSS2,#rrggbb or #rgb,Hexadecimal notation,3.0,12,1.0,85,Yes,1.0,
23,CSS2,"rgb(r, g, b)",RGB notation,4.0,12,1.0,85,Yes,1.0,
24,CSS2,system colors[spec 12],28 predefined system colors,3.0,12,1.0,85,Yes,1.0,
25,css-color-3,SVG color keywords,,8.0,12,Yes,Yes,Yes,Yes,
26,css-color-3,currentColor,The value of the color property.,9.0[t 1],12,1.8,528,Yes,2.1,
27,css-color-3,"rgba(r, g, b, a)",RGBA notation,9.0[t 1],12,1.9,525,4.0,2.2,
28,css-color-3,"hsl(h, s, l)",HSL notation,9.0[t 1],12,1.5,525,3.5.5,2.1,
29,css-color-3,"hsla(h, s, l, a)",HSLA notation,9.0[t 1],12,1.9,525,3.5.5,2.2,
30,css-color-3,transparent,Full transparency,9.0,12,1.9,525,4.0,Partial,
31,Image values,Image values,Image values,Image values,Image values,Image values,Image values,Image values,Image values,
32,CSS2,<url>,Image types,3.0,12,1.0,85,Yes,1.0,
33,css3-images,<sprite>,Image types,No,No,No,No,No,No,
34,css3-images,<image-list>,Image types,No,No,No,No,No,No,
35,css3-images,<linear-gradient>,Image types,10.0[t 52],12,16.0,Yes,No,Experimental,
36,css3-images,<radial-gradient>,Image types,10.0[t 52],12,16.0,Yes,No,Experimental,
37,css3-images,linear-gradient(),Color gradients,10.0[t 52],12,16.0,Yes,No,Experimental,
38,css3-images,radial-gradient(),Color gradients,10.0[t 52],12,16.0,Yes,No,Experimental,
39,css3-images,repeating-linear-gradient(),Color gradients,10.0[t 52],12,16.0,Yes,No,Experimental,
40,css3-images,repeating-radial-gradient(),Color gradients,10.0[t 52],12,16.0,Yes,No,Experimental,
41,css-images-4,conic-gradient(),,No,No,No,No,No,No,
42,css-images-4,repeating-conic-gradient(),,No,No,No,No,No,No,
43,css-images-4,element(),Reproduce element,No,No,Experimental,No,No,No,
44,css-images-4,cross-fade(),Transitioning between images,No,No,No[g 64],No,No,No,
45,css-images-4,image-set(),Resolution negotiation,No,No,No,No,No,No,
46,Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],Counter Styles[spec 13],
47,css-counter-styles-3,symbols(),Anonymous Counter Styles,No,No,No,No,No,No,
48,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,
49,CSS2,auto,Automatically calculated,6.0,12,1.0,85,Yes,1.0,
50,CSS2,inherit,Inherited from the parent,8.0,12,1.0,85,Yes,1.0,
51,css-values-3,initial,,No,13,19.0,125,No,No,
52,Units,Units,Units,Units,Units,Units,Units,Units,Units,
53,CSS2,px,Pixel,3.0,12,1.0,85,Yes,1.0,
54,CSS2,pt,Point,3.0,12,1.0,85,Yes,1.0,
55,CSS2,pc,Pica,3.0,12,1.0,85,Yes,1.0,
56,CSS2,cm,Centimetre,3.0,12,1.0,85,Yes,1.0,
57,CSS2,mm,Millimetre,3.0,12,1.0,85,Yes,1.0,
58,CSS2,in,inch,3.0,12,1.0,85,Yes,1.0,
59,CSS2,em,em,3.0,12,1.0,85,Yes,1.0,
60,CSS2,ex,ex,3.0,12,1.0,85,Yes,1.0,
61,CSS2,%,Percentage,3.0,12,1.0,85,Yes,1.0,
62,css-values-3,deg,Degree,9.0[t 1],12,1.9.1,Yes,Yes,2.5,
63,css-values-3,grad,Grad,9.0[t 1],12,1.9.1,Yes,Yes,2.5,
64,css-values-3,rad,Radian,9.0[t 1],12,1.9.1,Yes,Yes,2.5,
65,css-values-3,turn,turn,9.0[t 1],12,13.0[g 65],No,No,No,
66,css-values-3,ms,Millisecond,9.0[t 1],12,2.0[g 66],Yes,Yes,2.5,
67,css-values-3,s,Second,9.0[t 1],12,2.0[g 66],Yes,Yes,2.5,
68,css-values-3,Hz,Hertz,No,No,No,Yes,Yes,No,
69,css-values-3,kHz,Kilohertz,No,No,No,Yes,Yes,No,
70,css-values-3,dpi,Dots per inch,No,12,1.9.1,No,4.1,2.5,
71,css-values-3,dpcm,Dots per centimetre,No,12,1.9.1,No,4.1,2.5,
72,css-values-3,dppx,Dots per pixel-unit,No,12,16.0,No,?,No,
73,earlierdraft ofcss-line-grid,gd,Cells in the layout-grid,No,No,No,No,No,No,
74,unit beingconsideredfor css-template-3,fr,Remaining space in a series of length values,No,12,No,No,No,No,
75,css-values-3,rem,the font size of the root element,9.0[t 1],12,1.9.2,Yes,No,2.10.229[p 7],
76,css-values-3,vw,the viewport's width,9.0[t 1],12,19.0[g 3],28.0[w 37],No,No,
77,css-values-3,vh,the viewport's height,9.0[t 1],12,19.0[g 3],28.0[w 37],No,No,
78,css-values-3,vmin,equal to the smaller of ‘vw’ or ‘vh’.,No,12,19.0[g 3],28.0[w 37],No,No,
79,css-values-3,vmax,equal to the larger of ‘vw’ or ‘vh’.,No,12,19.0[g 3],28.0[w 37],No,No,
80,css-values-3,ch,"the width of the ""0"" (ZERO, U+0030) glyph found in the font for the font size used to render.",No,12,1.9.1,No,No,No,
81,Filter Effects,Filter Effects,Filter Effects,Filter Effects,Filter Effects,Filter Effects,Filter Effects,Filter Effects,Filter Effects,
82,filter-effects,,,,,,,,,
83,filter-effects,grayscale(),,No,13,35.0[g 67],18.0[w 38],No,No,
84,filter-effects,sepia(),,No,13,35.0[g 67],18.0[w 38],No,No,
85,filter-effects,saturate(),,No,13,35.0[g 67],18.0[w 38],No,No,
86,filter-effects,hue-rotate(),,No,13,35.0[g 67],18.0[w 38],No,No,
87,filter-effects,invert(),,No,13,35.0[g 67],18.0[w 38],No,No,
88,filter-effects,opacity(),,No,13,35.0[g 67],18.0[w 38],No,No,
89,filter-effects,brightness(),,No,13,35.0[g 67],18.0[w 38],No,No,
90,filter-effects,contrast(),,No,13,35.0[g 67],18.0[w 38],No,No,
91,filter-effects,blur(),,No,13,35.0[g 67],18.0[w 38],No,No,
92,filter-effects,drop-shadow(),,No,13,35.0[g 67],18.0[w 38],No,No,
93,filter-effects,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables
94,css-variables-1,,,,,,,,,
95,css-variables-1,--*,define variable,No,No,31.0[g 68],Experimental[citation needed],No,No,
96,css-variables-1,var(--*),use variable,No,No,31.0[g 68],Experimental[citation needed],No,No,
97,,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,
