,Unnamed: 0,Trident,Gecko,WebKit,Presto
0,Called as function,Called as function,Called as function,Called as function,Called as function
1,EvalError (message),?,1.0,Yes,?
2,RangeError (message),?,1.0,Yes,?
3,ReferenceError (message),?,1.0,Yes,?
4,SyntaxError (message),?,1.0,Yes,?
5,TypeError (message),?,1.0,Yes,?
6,URIError (message),?,1.0,Yes,?
7,Called as constructor,Called as constructor,Called as constructor,Called as constructor,Called as constructor
8,new EvalError (message),?,1.0,Yes,?
9,new RangeError (message),?,1.0,Yes,?
10,new ReferenceError (message),?,1.0,Yes,?
11,new SyntaxError (message),?,1.0,Yes,?
12,new TypeError (message),?,1.0,Yes,?
13,new URIError (message),?,1.0,Yes,?
14,Properties,Properties,Properties,Properties,Properties
15,prototype,?,1.0,?,?
16,Properties of prototype,Properties of prototype,Properties of prototype,Properties of prototype,Properties of prototype
17,constructor,?,1.0,?,?
18,name,?,1.0,Yes,?
19,message,?,1.0,Yes,?
