,Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
0,GNU social,Open source,2010,micro-blogging,AGPLv3,CC-BY 3.0,Yes,Yes
1,Diaspora,Open source,2010-11,social network,AGPLv3,AGPLv3,Yes,Yes
2,Facebook,"Facebook, Inc.[1]",2004-02,social network,proprietary,own TOS,Yes,No
3,Gab,"Gab AI, Inc.",2016-08,micro-blogging,proprietary,own TOS,Yes,Yes
4,micro.blog,Riverfold Software,2017-04,micro-blogging,???,???,Yes,Yes
5,identi.ca,"Status Net, Inc.",2008-07 [2],micro-blogging,Apache v2 (pump.io),CC-BY 3.0,Yes,Yes
6,Tout,Tout,2010-04 [3],micro-blogging,proprietary,own TOS,Yes,Yes
7,Twitter,"Twitter, Inc.",2006-08 [4],micro-blogging,proprietary,own TOS,Yes,No
8,Yammer,"Yammer, Inc.",2008-09 [5],micro-blogging,proprietary,own TOS,Yes,Yes
9,Mastodon,Open source,2016-10[6],micro-blogging,AGPLv3,own TOS,Yes,Yes
10,Misskey,Open source,2014,micro-blogging,AGPLv3,own TOS,Yes,Yes
11,Pleroma,Open source,2017,micro-blogging,AGPLv3,own TOS,Yes,Yes
12,Twister,Open source,2013,micro-blogging,MIT and BSD licenses,own TOS,Yes,Yes
13,Tumblr,Oath Inc.,2007,micro-blogging,proprietary,own TOS,Yes,No
