,Model,Amazon Video,CinemaNow,Crackle,Flixster,Google Play,Hulu,iTunes,Movies Anywhere,Netflix,Sling TV [8],Vevo,Vimeo,VUDU,WWE Network,YouTube,UltraFlix
0,Amazon Fire TV,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1,Apple TV,Yes (3rd generation and later),No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4th generation and later,Yes,with software version 7.2 and later,Yes (HD)
2,Asus Cube,Yes,No,No,No,Yes,No,No,?,Yes,No,No,No,No,No,Yes,No
3,Google Chromecast/Nexus Player,Yes[9],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Hisense Pulse,No,No,Yes,Yes,Yes,No,No,?,Yes,No,No,No,Yes,No,Yes,Yes
5,Little Smart Box,No,No,Yes,Yes,Yes,Yes,No,?,Yes,No,Yes,Yes,Yes,No,Yes,No
6,Microsoft Xbox,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes[10],Yes,No,Yes,Yes,Yes,Yes
7,NanoTech Nuvola,No,No,No,No,Yes,Yes,No,?,Yes,No,No,No,No,No,Yes,Yes
8,Nintendo,Yes,No,No,No,No,Yes,No,?,Yes,No,No,No,No,No,Yes,No
9,Roku | Roku Devices,Yes,Yes,Yes,Yes,Yes[11],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,SHIELD Android TV,Yes,Yes,Yes,Yes[12],Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes[13],Yes,Yes
11,Sony PlayStation,Yes,Yes,Yes,No,No,Yes,No,?,Yes,No,No,No,Yes,Yes,Yes,No
12,Vizio Co-Star,Yes,No,Yes,No,No,LT only,No,?,Yes,No,No,No,Yes,No,Yes,Yes
13,Western Digital WD TV,No,Yes,No,Yes,No,Yes,No,?,Live and Play versions,No,No,Yes,Yes,No,Yes,No
