,Distribution,Target Boot Time,Whole OS Loads to RAM (Default),LIVE Medium,Target Users,"SSD Write Optimization (SSD degradation, I/O optimization, etc.)",Specific Supported Hardware
0,Aurora 3.0,,,,,,
1,EasyPeasy 1.6,,,LIVE Medium,"Beginner, highly mobile netbook users.",,
2,Eeedora[4],,,,,,
3,Firefly Linux 1.0 Beta 1,,,,,,
4,Joli OS 1.2,,,,,,
5,Kuki Linux 2.0,,,,,,
6,Linux4One 1.5,40 seconds[13],,,,,
7,Manjaro Netbook Edition,,,,,,
8,Moblin 2.0,5 seconds[14][15],,,,,
9,OpenGeeeU 8.10,,,,,,
10,Puppeee Linux 4.3X,30s,Loads to RAM,,,Layered filesystem - caches writes in RAM,Lightweight kernel compiled for EeePCs only
11,Ubuntu Netbook Edition 10.10,,,,,,
