,ACER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Manufacturer,Model,Weight [kg],Weight [lb],"Display size """,Display resolution,Display DPI[Note 1],CPU,Speed [GHz],HSDPA,Video chipset,Video connection(s),Storage type,Storage [GB],RAM [GB],Battery life [h] (low end),Battery life [h] (high end),Keyboard size in %[Note 2],Camera,Mouse layout,Linux OS choice(s),Windows OS choice(s),Manual / DataSheet,,
1,Acer Inc.,Aspire One[1],"0.99, 1.26","2.18, 2.77",8.9 - 11.6,"1024×600, 1366×768 WSVGA LED glossy",133-135,Atom,1.6,,GMA 950,VGA,"SSD + SDHC, HDD","8, 16 / 120, 160, 25","0.5, 1, 2[2]",3 (3-cell),6–7 (6-cell),?,Built-in,"Touchpad, buttons on each side",Linpus[3],7 Starter Edition,,,
2,ALWAYS INNOVATING,,,,,,,,,,,,,,,,,,,,,,,,
3,Always Innovating,Touch Book[4],0.675/1.418 [Note 3],1.488/3.126 [Note 3],8.9,1024×600 touchscreen,133-102,OMAP3530,0.6,,PowerVR SGX530 GPU + 430 MHz C64x+ DSP,None,Removable SD card[5],8,0.25,"3-5 (tablet only, 6000 mAh)","10-15 (with keyboard, 12000 mAh)",95%,None,Touchpad 2-buttons below,"Ångstrom, Ubuntu (operating system), Android",CE/not x86 based,,,
4,AIGO,,,,,,,,,,,,,,,,,,,,,,,,
5,Aigo,MID P8880T[6],0.34,0.75,4.8,800×480,194,Atom,0.8,TD,GMA 500,VGA,"SSD + SDHC, HDD","8, 16 / 120","0,5 or 1",3 (3-cell),6–7 (6-cell),,3.2 MP,Touchscreen,,XP,,,
6,ARCHOS,,,,,,,,,,,,,,,,,,,,,,,,
7,Archos,Archos 10,1.23,2.7,10.2,1024×600,116,Atom N270,1.6,,GMA 950,VGA,HDD,160,1,,,,1.3 MP,Touchpad 2-buttons below,,XP,,,
8,ASUS,,,,,,,,,,,,,,,,,,,,,,,,
9,Manufacturer,Model,Weight [kg],Weight [lb],"Display size """,Display resolution,Display DPI[Note 1],CPU,Speed [GHz],HSDPA,Video chipset,Video connection(s),Storage type,Storage [GB],RAM [GB],Battery life [h] (low end),Battery life [h] (high end),Keyboard size in %[Note 2],Camera,Mouse layout,Linux/Unix OS choice(s),Windows OS choice(s),Manual / DataSheet,,
10,Asus,Eee PC 701SD,0.905,2.00,7,800×480 WVGA matte,133,Celeron-M ULV 353,0.9,?,?,VGA,SSD,8,0.5,3.4,3.5,83%,0.3 MP,?,Linux,XP Home,,,
11,Asus,Eee PC 900,0.99,2.18,8.9,1024×600 WSVGA matte,133,Celeron-M ULV 353,0.9,,?,VGA,SSD,"12, 16, 20",1,3.5 (4-cell),3.5 (4-cell),83%,1.3 MP[7],Touchpad 2-buttons below,Xandros,XP,,,
12,Asus,Eee PC 900A,0.99,2.18,8.9,1024×600 WSVGA matte,133,Atom N270,1.6,,GMA 950,VGA,SSD,"4, 8, 16",1,3.5 (4-cell),3.5 (4-cell),83%,"None, 0.3 MP",Touchpad 2-buttons below,Xandros,XP,,,
13,Asus,Eee PC 900HA,1.23,2.7,8.9,1024×600 WSVGA matte,133,Atom N270,1.6,,GMA 3150,VGA,HDD,160,1,3.5 (4-cell),10400 mAh 7.5hr (8-cell),83%,0.3 MP,Touchpad 2-buttons below,?,Windows XP,,,
14,Asus,Eee PC 901,1.14,2.51,8.9,1024×600 WSVGA matte,133,Atom N270,1.6,PCB sockets present. Mod option.,GMA 950,VGA,SSD + SDHC,"12, 20",1-2,4.2,7.8,83%,1.3 MP,Touchpad 2-buttons below,Xandros,XP,,,
15,Asus,Eee PC 904HD,1.40,3.09,8.9,1024×600 WVGA,133,Celeron-M,0.9,,?,VGA,HDD,80,1,?,?,?,?,,?,XP,,,
16,Asus,Eee PC 1000,1.45,3.19,10.1,1024×600 WSVGA matte,117,Atom N270,1.6,,945 GME,VGA,"SSD + SDHC, HDD",40 / 80 / 120 / 160,"1, 2",4.2,7.8,92%,?,,Xandros,XP,,,
17,Asus,Eee PC 1000HE[8],1.45,3.20,10.1,1024×600 WSVGA matte,117,Atom N280,1.66,,GMA 950,VGA,HDD,160,"1, 2",?,9.5,92%,1.3 MP,Touchpad 2-buttons below,None,XP Home,,,
18,Asus,Eee PC 1001HA[9],1.1,2.4,10.1,"1024×600WSVGA, matte",117,Atom N270,1.6,,GMA 950,VGA,HDD,160,"1, 2 (one slot, field upgradable)","4 (3-cell, 2200mAh, 23Wh)","8 (6-cell, 4600mAh, 48Wh)",92%,0.3 MP,"Touchpad 2-buttons below, multitouch",GNU,XP Home,,,
19,Asus,Eee PC 1005HA-PU1X[10][Note 4],1.27,2.81,10.1,"1024×600WSVGA, glossy",117,Atom N280,1.66,,GMA 950,VGA,HDD,160 + 10 Eee Storage,"1, 2 (one slot, field upgradable)[Note 4]",,"10.5 (6-cell, 5600mAh, 63Wh)",92%,1.3 MP,"Touchpad 2-buttons below, multitouch",None,XP Home,,,
20,Asus,Eee PC 1001PX-EU0X[11],1.1,2.42 (with 3 cell battery?),10.1,"1024×600WSVGA, matte",117,Atom N450,?,,Intel UMA,VGA,HDD,160 (XP) / 250 (Win 7) + 10 Eee Storage,"1, 2 (one slot, field upgradable","4.5 (3 cell, 23Wh)","9 (6-cell, 48Wh)",95%,0.3 MP,"Touchpad 2-buttons below, multitouch",None,XP Home or 7 Starter,,,
21,Asus,Eee PC 1008HA[12],1.09,2.40,10.1,1024×600 WSVGA glossy,117,Atom N280,1.66,,GMA 950,VGA,HDD,160 + 10 Eee Storage,"1, 2",?,6.0,92%,1.3 MP,,GNU,XP Home,,,
22,Asus,Eee PC 1015P[13],1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom N450,?,,?,VGA,HDD,?,1 - 2 (DDR2),"5 (3-cell, 23Wh)","9 (6-cell, 48Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015P Manual,,
23,Asus,Eee PC 1015PD[14],1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom N455 / N475,?,,NVIDIA ION N11M-PT1,VGA,HDD,160 / 250 / 320 + Web Storage (1 year),1 - 2 (DDR3),"4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015PD Manual,,
24,Asus,Eee PC 1015PE[15],1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom N550,1.5,,?,VGA,HDD,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR2),"5 (6-cell, 23Wh)","13.5 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015PE Manual,,
