,Software Name,E-mail client,HTML editor,Collaborative software,Online editing
0,Ability Office,No,No,No,No
1,Apache OpenOffice,No,OpenOffice Writer[25],No,With free plugins
2,Breadbox Office,Yes,Yes,No,No
3,Calligra Suite,Kontact[2],"Kate,[2] Quanta+[2]",No,No
4,Feng Office Community Edition,beta,No,Yes,Yes
5,GobeProductive,No,Yes,No,No
6,Google Apps for Work,Gmail,Google Sites,Yes,Fully online
7,iWork,Mail,No,Yes,iCloud
8,LibreOffice,Can interface with email clients andMail Merge Wizard can sendemail directly from LibreOffice[26],LibreOffice Writer,LibreOffice Calc,Currently via free plugins;LibreOffice Onlineunder development.[27]
9,Lotus SmartSuite,No,Lotus FastSite,Yes,No
10,MarinerPak,No,No,No,No
11,Microsoft Office,Microsoft Outlook (Not included inMicrosoft Office 2013 or 2016Home & Student)[28][29],"Microsoft SharePoint Designer. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0",Microsoft SharePoint(Available for separate subscription)[30],Office Online
12,Microsoft Works,No,No,No,Microsoft Office Live
13,MobiSystems OfficeSuite,"OfficeSuite Mail for Windows, AquaMail for Android",No,No,No
14,NeoOffice,No,NeoOffice Writer[25],No,No
15,ONLYOFFICE,Yes,No,Yes,Fully online
16,ShareOffice,No,No,Yes,Fully online
17,SoftMaker Office,a bundled Mozilla Thunderbird,No,No,No
18,StarOffice,No,StarWriter[25],No,With free plugins
19,TeXmacs,allows to read emails,Yes,under development,No
20,[./Https://www.onlyoffice.com OnlyOffice],No,Yes,Yes,Yes
21,ThinkFree Office,No,Note,No,ThinkFree.com
22,Tiki Wiki CMS Groupware,Tiki Webmail,WYSIWYG editor via CKEditor,Yes,Fully online
23,WordPerfect Office,has mail merge capabilities[31],No,No,Yes
24,WPS Office (Kingsoft Office),available in Android,Yes,Yes,Yes
25,Zoho Office Suite,Zoho Mail,Zoho Writer,Yes,Yes
26,Software Name,E-mail client,HTML editor,Collaborative software,Online editing
