,Name,Lexer algorithm,Output languages,"Grammar, code",Development platform,License
0,Alex,DFA,Haskell,Mixed,All,"Free, BSD"
1,AnnoFlex,DFA,Java,Mixed,Java virtual machine,"Free, BSD"
2,AustenX,DFA,Java,Separate,All,"Free, BSD"
3,Booze-tools,DFA,state machine is runtime-generated or saved as JSON,Mixed,Python,"Free, public domain"
4,C# Flex,DFA,C#,Mixed,.NET CLR,"Free, GNU GPL"
5,C# Lex,DFA,C#,Mixed,.NET CLR,?
6,CookCC,DFA,Java,Mixed,Java virtual machine,"Free, Apache 2.0"
7,DFAlex,DFA,no code generation required,Java,Java,"Free, Apache 2.0"
8,Dolphin,DFA,C++,Separate,All,Proprietary
9,Flex,DFA table driven,"C, C++",Mixed,All,"Free, BSD"
10,gelex,DFA,Eiffel,Mixed,Eiffel,"Free, MIT"
11,golex,DFA,Go,Mixed,Go,"Free, BSD-style"
12,gplex,DFA,C#,Mixed,.NET CLR,"Free, BSD-like"
13,JFlex,DFA,Java,Mixed,Java virtual machine,"Free, BSD"
14,JLex,DFA,Java,Mixed,Java virtual machine,"Free, BSD-like"
15,lex,DFA,C,Mixed,POSIX,"Partial, proprietary, CDDL"
16,lexertl,DFA,C++,?,All,"Free, GNU LGPL"
17,LRSTAR,DFA,C++,Separate,Windows,"Free, BSD"
18,Quex,DFA direct code,"C, C++",Mixed,All,"Free, GNU LGPL"
19,Ragel,DFA,"C, C++, assembly",Mixed,All,"Free, GNU GPL, MIT[1][1]"
20,RE/flex,"DFA direct code, DFA table driven, and NFA regex libraries",C++,Mixed,All,"Free, BSD"
21,re2c,DFA direct code,C,Mixed,All,"Free, public domain"
