,Name,floppy,ISO,folders on host,physical disk / device,raw / flat (whole disk),raw / flat (partition),hdd (Parallels),QCOW (QEMU),QCOW2 (QEMU),QED (QEMU),VDI (VirtualBox),VHD (Connectix Virtual PC),VHDX (Hyper-V),VMDK (VMware)
0,Bochs[20],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,"v3, v4"
1,"Containers, or Zones",?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,Cooperative Linux (coLinux),?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,CHARON,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,Denali,?,?,?,?,?,?,?,?,?,?,?,?,?,?
5,DOSBox,Yes,Yes,Yes,?,Yes,?,No,No,DOSBox-X fork,No,No,No,No,No
6,DOSEMU,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?
7,FreeBSD Jail,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
8,GXemul,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,Hercules,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,Hyper-V (2008 R2),?,Yes,?,Yes,?,?,?,?,?,?,No,Yes,No,No
11,Hyper-V (2012),?,Yes,?,Yes,?,?,?,?,?,?,No,Yes,Yes,No
12,Hyper-V (2012 R2),Yes,Yes,?,Yes,?,?,?,?,?,?,No,Yes,Yes,No
13,iCore Virtual Accounts,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,Integrity Virtual Machines,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,JPC (Virtual Machine),Yes,Yes,Yes,?,Yes,?,?,?,?,?,?,?,?,?
16,KVM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes
17,Linux-VServer,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,LynxSecure,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,LXC,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,OpenVZ,?,?,?,?,?,?,?,?,?,?,?,?,?,?
21,Oracle VM Server for x86,?,?,?,?,?,?,?,?,?,?,?,?,?,?
22,Oracle VM Server for SPARC (LDoms),?,?,?,?,?,?,?,?,?,?,?,?,?,?
23,OVPsim,?,?,?,?,?,?,?,?,?,?,?,?,?,?
24,Parallels Desktop for Mac,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?
25,Parallels Workstation,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?
26,PearPC,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
27,PikeOS,?,?,?,?,?,?,?,?,?,?,?,?,?,?
28,PowerVM,?,?,?,?,?,?,?,?,?,?,?,?,?,?
29,QEMU,?,Yes,?,?,Yes,Yes,?,Yes,Yes,?,Yes,Yes,?,Yes
30,QEMU w/ kqemu module,?,?,?,?,?,?,?,Yes,No,No,?,?,?,?
